,Category,proteins_level,Fraction,affiliation
98,4C,23.352735222379483,EV,"Small EVs 
 proteins"
99,4C,27.872354611179492,EV,"Small EVs 
 proteins"
100,5A,25.084995837938575,EV,"Secreted 
 by 
 EVs"
101,5B,24.295873432060045,EV,"Secreted 
 by 
 EVs"
102,5B,26.086418350410927,EV,"Secreted 
 by 
 EVs"
103,5B,30.643612761415614,EV,"Secreted 
 by 
 EVs"
104,5B,33.859192174072795,EV,"Secreted 
 by 
 EVs"
105,5B,23.354838988151354,EV,"Secreted 
 by 
 EVs"
106,5B,29.525220469774073,EV,"Secreted 
 by 
 EVs"
107,5B,26.59948748502669,EV,"Secreted 
 by 
 EVs"
108,5B,24.8963998440008,EV,"Secreted 
 by 
 EVs"
109,5B,29.712081279668066,EV,"Secreted 
 by 
 EVs"
110,5B,31.413477495863955,EV,"Secreted 
 by 
 EVs"
111,5B,28.109547270321432,EV,"Secreted 
 by 
 EVs"
112,5B,28.119694399495838,EV,"Secreted 
 by 
 EVs"
113,5B,23.752674426430016,EV,"Secreted 
 by 
 EVs"
114,5B,24.49439863761396,EV,"Secreted 
 by 
 EVs"
115,5B,31.018468326957546,EV,"Secreted 
 by 
 EVs"
116,5B,35.037716820005265,EV,"Secreted 
 by 
 EVs"
117,5B,28.632311150614196,EV,"Secreted 
 by 
 EVs"
118,5B,30.33205101725153,EV,"Secreted 
 by 
 EVs"
119,5B,28.33826170006969,EV,"Secreted 
 by 
 EVs"
120,5B,30.761000327696397,EV,"Secreted 
 by 
 EVs"
121,1A,28.034975577994555,CM,"EV 
 Transmembrane/ 
 anchored 
 proteins"
122,2A,25.47789052428304,CM,"EV 
 cytosolic 
 proteins"
123,2A,24.681675113218944,CM,"EV 
 cytosolic 
 proteins"
124,2A,22.398192362876298,CM,"EV 
 cytosolic 
 proteins"
125,2B,26.345239214532437,CM,"EV 
 cytosolic 
 proteins"
126,2B,25.12829467739284,CM,"EV 
 cytosolic 
 proteins"
127,2B,22.7751378597838,CM,"EV 
 cytosolic 
 proteins"
128,3A,37.03342685873741,CM,"non-EV 
 ribosomal 
 proteins"
129,3A,33.20564372214399,CM,"non-EV 
 ribosomal 
 proteins"
130,3A,26.88852234432531,CM,"non-EV 
 ribosomal 
 proteins"
131,3B,24.383726495566904,CM,"non-EV 
 ribosomal 
 proteins"
132,4A,23.523013535973835,CM,"Small EVs 
 proteins"
133,4C,25.651323450634308,CM,"Small EVs 
 proteins"
134,4C,24.889310328122182,CM,"Small EVs 
 proteins"
135,5B,33.17936280614806,CM,"Secreted 
 by 
 EVs"
136,5B,31.043082888491266,CM,"Secreted 
 by 
 EVs"
137,5B,30.866093495679323,CM,"Secreted 
 by 
 EVs"
138,5B,28.023737551147267,CM,"Secreted 
 by 
 EVs"
139,5B,27.91490715809282,CM,"Secreted 
 by 
 EVs"
140,5B,27.77771124030747,CM,"Secreted 
 by 
 EVs"
141,5B,27.560165776624824,CM,"Secreted 
 by 
 EVs"
142,5B,26.682867044841164,CM,"Secreted 
 by 
 EVs"
143,5B,24.887333490290303,CM,"Secreted 
 by 
 EVs"
144,5B,24.245711193341425,CM,"Secreted 
 by 
 EVs"
145,5B,23.919120070636655,CM,"Secreted 
 by 
 EVs"
146,5B,19.504051561013025,CM,"Secreted 
 by 
 EVs"
