Gene Symbol,protein,FDR,FC
ARG1,ARG1,0.6757214233500062,-0.5994198790523768
COPG1,COPG1,0.3770122296805657,-0.598501201421584
HNRNPK,HNRNPK,0.051229153130723556,-0.5949142382210972
NPM1,NPM1,0.045696460200112005,-0.5857047626096517
IGSF8,IGSF8,0.08122624005010771,-0.5850966171084941
SPON2,SPON2,0.08184350123704595,-0.5769757251883583
ARIH1,ARIH1,0.173436885908414,-0.5769322551114193
MARCKS,MARCKS,0.2825015156085924,-0.5683909350417196
H2BC18,H2BC18,0.11830728736455488,-0.5655304666995598
CALML5,CALML5,0.719354949059315,-0.5650981293219175
IPO7,IPO7,0.0800999725387947,-0.5619204663762538
PPP2CB,PPP2CB,0.2570456113533072,-0.5615245993431266
MRGPRF,MRGPRF,0.17954053880781554,-0.555559812338533
RPS12,RPS12,0.13830248341821433,-0.5516122662858578
SRSF1,SRSF1,0.2570456113533072,-0.5501822790529509
S100A11,S100A11,0.502986699858321,-0.5492732311026778
STRAP,STRAP,0.19789135737373545,-0.5490841582233372
SLC16A1,SLC16A1,0.19789135737373545,-0.5427023195800125
SERPINH1,SERPINH1,0.14506949966186308,-0.5405902434329946
COL1A1,COL1A1,0.08052371135993096,-0.5388604711311586
DBN1,DBN1,0.05653509630869364,-0.5381119764825577
COL1A2,COL1A2,0.09750788681703934,-0.5220896122056153
ITGA5,ITGA5,0.21595503320272388,-0.5202067704636306
JUP,JUP,0.6956388434243767,-0.518311694437628
EEF1D,EEF1D,0.04597093893496546,-0.5159964367529177
VCP,VCP,0.05496630398374659,-0.5145570166336348
PLOD1,PLOD1,0.14506949966186308,-0.5135479781571668
GPC1,GPC1,0.20648213668818413,-0.5132198574511868
PLAC9,PLAC9,0.13242935967363895,-0.5121235284585559
SSC5D,SSC5D,0.11966505657826813,-0.5069367032896714
FBLN1,FBLN1,0.24529480700815623,-0.506029154216197
RPS27A,RPS27A,0.2768447776935717,-0.5043678232147109
GOLM1,GOLM1,0.09750788681703934,-0.4983578922813763
APP,APP,0.12968066811334217,-0.49752740590727385
LAMB1,LAMB1,0.08052371135993096,-0.49587010374950324
COL12A1,COL12A1,0.105745593573221,-0.4909335918792834
CRTAP,CRTAP,0.08052371135993096,-0.48736474249545836
ADAMTSL1,ADAMTSL1,0.3392984354814762,-0.4867942889292678
GANAB,GANAB,0.23046561004918634,-0.4853690113666005
OLFML3,OLFML3,0.16630846301495467,-0.4786701510651312
HNRNPU,HNRNPU,0.06065554471678884,-0.47635016395175356
MVP,MVP,0.11245936287266807,-0.4734367769623944
KRT1,KRT1,0.719354949059315,-0.4699073312619291
HSP90B1,HSP90B1,0.04597093893496546,-0.4696153717966425
P4HA2,P4HA2,0.13242935967363895,-0.46727064048214473
RPS2,RPS2,0.39416260493462935,-0.465889784193422
EMILIN1,EMILIN1,0.09664342545549022,-0.4604866644536969
CLTC,CLTC,0.3553667720314262,-0.4571606748864383
RPLP2,RPLP2,0.08052371135993096,-0.45627473621869896
COL18A1,COL18A1,0.14506949966186308,-0.45558397662513883
CCT5,CCT5,0.05545915742454988,-0.451335492846372
SLC1A5,SLC1A5,0.1969051584082925,-0.4500260981713069
LAMC1,LAMC1,0.08416731867077247,-0.4479255862924063
QSOX1,QSOX1,0.1479624151461006,-0.4477899369809748
LAMA5,LAMA5,0.7151328462788136,-0.4474430723077276
PCBP1,PCBP1,0.173436885908414,-0.44627038276961173
variant.COL5A1,variant.COL5A1,0.11245936287266807,-0.4454831243141655
CALR,CALR,0.04597093893496546,-0.4444082169607526
COL6A1,COL6A1,0.17023143881639013,-0.4400541391599191
MFAP2,MFAP2,0.08620473605641545,-0.43802529695689785
NCL,NCL,0.07880412827012524,-0.43723382915647235
TKT,TKT,0.7248096659055022,-0.43570376169155267
FST,FST,0.1974861714227643,-0.4345556431710236
CCN1,CCN1,0.4472785205507864,-0.42795592224402057
PABPC1,PABPC1,0.11830728736455488,-0.421594416462451
CD248,CD248,0.10870016816823604,-0.4182128731959267
H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,0.4178745024093797,-0.41673961205552246
PDIA4,PDIA4,0.2380050248065732,-0.4160973011958049
ANP32A,ANP32A,0.08087539504494037,-0.41477790975831397
RPS3,RPS3,0.3562859720120569,-0.41415574524400967
SULF2,SULF2,0.2570456113533072,-0.4133015991916835
EFEMP2,EFEMP2,0.16975863794027907,-0.41078411833470696
EIF2S1,EIF2S1,0.4993368466394526,-0.4093822481726903
OS9,OS9,0.11401007291978443,-0.4060120955870197
CSNK2A1,CSNK2A1,0.1530201760145851,-0.40267945883736544
G3BP2,G3BP2,0.17894085769188245,-0.40154449715789653
ITGAV,ITGAV,0.26233997030007605,-0.40063947115740106
EEF1G,EEF1G,0.29723628033983385,-0.3978483724986255
CBR3,CBR3,0.19789135737373545,-0.3956603032354167
DYNC1H1,DYNC1H1,0.3135693318904912,-0.39544555614083166
KPNB1,KPNB1,0.3501721244764876,-0.3921161603304313
COPB2,COPB2,0.41077521338272277,-0.39081616987717993
FASN,FASN,0.46170167348329555,-0.3886914091381186
HUWE1,HUWE1,0.35950252959137724,-0.385414454833338
PRKCSH,PRKCSH,0.27229738226168027,-0.38003925128728255
ADAM10,ADAM10,0.3135693318904912,-0.3795679527393254
GNAI2,GNAI2,0.21350563484177645,-0.37833874329086825
RPS5,RPS5,0.1521786846949501,-0.3763603310876391
KPRP,KPRP,0.8748539843778909,-0.37591354520410647
ANP32B,ANP32B,0.21354662203635516,-0.374726214486536
COPE,COPE,0.16576756150121394,-0.3693942788728748
AZGP1,AZGP1,0.7381139612562889,-0.36849868523898976
SET,SET,0.09974681998198304,-0.3673212873080125
ATIC,ATIC,0.6541868335791046,-0.3670999850856944
CD81,CD81,0.36515103171121155,-0.3654200359153563
GFPT1,GFPT1,0.6496785468648232,-0.36427184995350004
EIF3A,EIF3A,0.08052371135993096,-0.3600294652813041
LGALS1,LGALS1,0.20196709992508424,-0.35911523447844473
GAS1,GAS1,0.2570456113533072,-0.3572181396820575
RPSA,RPSA,0.36975507658113566,-0.3567031535570635
GREM1,GREM1,0.6167705513863587,-0.3541825519417543
G3BP1,G3BP1,0.2380050248065732,-0.351862298899448
DSC1,DSC1,0.7871966048701493,-0.3419218865098266
LGALS3BP,LGALS3BP,0.2233875340895732,-0.3416299778131311
BSG,BSG,0.11390215692250111,-0.33979182972008815
RPS18,RPS18,0.5666713839907056,-0.33585321175137395
OLFML2B,OLFML2B,0.354989758620562,-0.33369717659651243
LMAN1,LMAN1,0.5129192909806329,-0.33072863344623116
LOX,LOX,0.37395527748368534,-0.3270557071084568
GAS6,GAS6,0.08416731867077247,-0.3265822725787011
HSP90AB1,HSP90AB1,0.2570456113533072,-0.32561612528314754
COPA,COPA,0.5717579701417715,-0.32346941731328727
P3H4,P3H4,0.19354719518777116,-0.31598671499465425
PTK7,PTK7,0.2570456113533072,-0.3157862208712281
ATRN,ATRN,0.3562859720120569,-0.3083505319836206
LOXL2,LOXL2,0.3700928557901274,-0.3042351483017711
RPS15A,RPS15A,0.4404460232666041,-0.3014061088768081
MAPRE1,MAPRE1,0.2570456113533072,-0.29937548127619706
LDHA,LDHA,0.19789135737373545,-0.2979872781664632
RPL18A,RPL18A,0.5877948868279109,-0.29672276135864095
EIF3C,EIF3C,0.24529480700815623,-0.29421716651127383
UBA1,UBA1,0.3553667720314262,-0.29271185087156937
NPTN,NPTN,0.5675305613118237,-0.2880981410490442
DCTN1,DCTN1,0.46170167348329555,-0.28721638343855815
FSTL1,FSTL1,0.08395783305219304,-0.28689106461691694
RPS4X,RPS4X,0.6757214233500062,-0.28227030928701424
FKBP10,FKBP10,0.1479624151461006,-0.28084599614419403
GAPDH,GAPDH,0.16295614064115663,-0.2737177730094267
ARPC3,ARPC3,0.29624341539908783,-0.2725612872613681
LAMA2,LAMA2,0.6757214233500062,-0.2723778780989008
MAP1A,MAP1A,0.37080562952725893,-0.27209354226206983
RPL10,RPL10,0.6275164204473426,-0.27140009496856266
PTGES3,PTGES3,0.29500163476291374,-0.26614592380923696
RAB8B,RAB8B,0.3553667720314262,-0.2656807237999175
AEBP1,AEBP1,0.2570456113533072,-0.26042216266426976
ILF3,ILF3,0.5517248828399636,-0.26042130281810927
SLC3A2,SLC3A2,0.439074783313065,-0.25992766972641945
RPL36,RPL36,0.6111547205239591,-0.25855104553693664
EIF4A1,EIF4A1,0.6339773023772401,-0.2577459202856076
HSPB1,HSPB1,0.25886666786372514,-0.2556553661698189
HSP90AA1,HSP90AA1,0.25882111853745243,-0.25489891026448674
variant.FBLN1,variant.FBLN1,0.3501721244764876,-0.2527248835544711
PPP1CA,PPP1CA,0.4404460232666041,-0.25215961631609574
PLIN3,PLIN3,0.354989758620562,-0.2513786703383474
HBB,HBB,0.5220044876173433,-0.24663191200433943
EIF2S3,EIF2S3,0.6121034589510576,-0.24591287162420983
RPS23,RPS23,0.46170167348329555,-0.24550695706585302
EPRS1,EPRS1,0.8748539843778909,-0.2442324572285557
EIF5A,EIF5A,0.5285158750042229,-0.24095744834676225
LTBP1,LTBP1,0.45673227186263565,-0.23799493681111628
MAP1B,MAP1B,0.16295614064115663,-0.23634765827430115
EEF2,EEF2,0.26993191590669674,-0.23416562641372352
CCT7,CCT7,0.537404336860461,-0.2330215387615624
TPI1,TPI1,0.46170167348329555,-0.23022868784888928
GLG1,GLG1,0.35950252959137724,-0.2294614448666259
RPS7,RPS7,0.34254031083299274,-0.22317197715796055
MFAP5,MFAP5,0.16393700394291374,-0.223127809776134
GNB2,GNB2,0.2957554005324754,-0.222799438149746
PSMC5,PSMC5,0.3553667720314262,-0.22218204966197064
CSPG4,CSPG4,0.24529480700815623,-0.22201315792207765
HSPA8,HSPA8,0.04849066326880245,-0.2215358840099988
CAPNS1,CAPNS1,0.5666713839907056,-0.2210917129005665
RPS14,RPS14,0.4827370622591338,-0.21986854931114763
RPS16,RPS16,0.5285158750042229,-0.21839975445853455
RCN1,RCN1,0.2938168606399802,-0.2170353787169539
TFPI2,TFPI2,0.8456895289621522,-0.21182825955129658
TPM3,TPM3,0.6757214233500062,-0.2114370622691446
RPL30,RPL30,0.3596416340193464,-0.20967144003086702
PDIA6,PDIA6,0.22583166311660033,-0.20920570215382384
EFEMP1,EFEMP1,0.5877948868279109,-0.20811614948001633
CAND1,CAND1,0.6992855781105539,-0.2073051019685508
TCP1,TCP1,0.354989758620562,-0.20618784341068164
NT5E,NT5E,0.3068507657830303,-0.20586656718533192
MXRA5,MXRA5,0.31249053763190726,-0.20560145037610056
RPL5,RPL5,0.5659912964594591,-0.20351643083637683
ACLY,ACLY,0.6614384196771526,-0.20349258078688237
NUTF2,NUTF2,0.32673914340911925,-0.20107991920311363
UCHL1,UCHL1,0.5258160795543985,-0.20100511877592808
ACTR1A,ACTR1A,0.4898428069189232,-0.20080493936513122
CCT6A,CCT6A,0.2740519933598688,-0.19928525107955863
PSMC1,PSMC1,0.6891336650660342,-0.19886642456161852
EIF5B,EIF5B,0.4343838637763536,-0.1978719270332654
COL15A1,COL15A1,0.18231874745945847,-0.1960322052013943
NUCB1,NUCB1,0.15363473453513715,-0.19417310218980433
PCOLCE,PCOLCE,0.6379919354203336,-0.19329216437341756
ECM2,ECM2,0.3700928557901274,-0.19284543677092714
variant.VCAN,variant.VCAN,0.3562859720120569,-0.19157099414284318
PPIB,PPIB,0.46170167348329555,-0.18944489512392693
RPL4,RPL4,0.5456959057867306,-0.1877280198596729
RAB2A,RAB2A,0.5683571393081369,-0.18410855256719572
NRP1,NRP1,0.46170167348329555,-0.1838122228814072
CKAP4,CKAP4,0.6159772118080048,-0.1837288277033906
ANXA5,ANXA5,0.6159772118080048,-0.1805576085290177
ANXA4,ANXA4,0.5393512890654563,-0.17970998857792964
RPL35,RPL35,0.6713834394073563,-0.17726803839208216
PAPPA,PAPPA,0.4310006728241698,-0.17602435767150837
NID1,NID1,0.15919311112425114,-0.17546289242032032
RPL18,RPL18,0.5666713839907056,-0.1746552168985822
RPL23,RPL23,0.6213905467398357,-0.17442609412368526
RAN,RAN,0.5219006980500127,-0.17323624520422598
EVA1B,EVA1B,0.6891336650660342,-0.17293327428700778
RPL15,RPL15,0.6452041222101748,-0.17188408097507235
ITGB1,ITGB1,0.46170167348329555,-0.16997123225818456
ANXA6,ANXA6,0.5659912964594591,-0.16993032036574007
CLDN11,CLDN11,0.6992855781105539,-0.1695146304066668
APRT,APRT,0.643912951973827,-0.1680368221764823
RAB35,RAB35,0.5285158750042229,-0.16673114774442155
RPL6,RPL6,0.9265913125629878,-0.16627348131269315
CCT8,CCT8,0.3937971059174125,-0.16556763859164292
CD99,CD99,0.3815350018233879,-0.1639825334146181
RPS26,RPS26,0.5391508095156174,-0.1639542441969617
FBN1,FBN1,0.4023815828636777,-0.1635474547298017
RPL27,RPL27,0.6888610963769008,-0.1618366499098478
S100A9,S100A9,0.9298081670740236,-0.15913494935195516
FSCN1,FSCN1,0.25849751938277454,-0.15666906577198958
PRG4,PRG4,0.4404460232666041,-0.15636758222833436
KRTAP3-3,KRTAP3-3,0.7984722663072532,-0.15609341245176367
RPL13A,RPL13A,0.775520396834595,-0.15480527391673604
PGK1,PGK1,0.2502641395444516,-0.15442679163679074
CAP1,CAP1,0.1969051584082925,-0.15292167221963382
RHOA,RHOA,0.4409313315261745,-0.14839500965878116
RPL32,RPL32,0.8084014939358917,-0.14837008096834836
NAP1L1,NAP1L1,0.4178745024093797,-0.1475514211034934
DCD,DCD,0.8748539843778909,-0.14537255155842388
HSPG2,HSPG2,0.537404336860461,-0.14221739073560258
TPBG,TPBG,0.7755614362107409,-0.1411986379153305
PRDX2,PRDX2,0.8748539843778909,-0.13848519030786832
AARS1,AARS1,0.9038863985813984,-0.13773809900817824
EEF1A1,EEF1A1,0.17341693797239902,-0.1371122687684263
SDCBP,SDCBP,0.6121034589510576,-0.1334384533113102
LOXL4,LOXL4,0.6972304365245676,-0.13155199958620045
DPP4,DPP4,0.8050237615273113,-0.1298650734473199
DARS1,DARS1,0.6682385397146453,-0.12885782003885282
RPL17,RPL17,0.6167705513863587,-0.12445304951555158
ITIH1,ITIH1,0.37061536612114354,-0.12331233718718693
HMGB1,HMGB1,0.5946084856739722,-0.12293428396231576
MYLK,MYLK,0.840836618619221,-0.12207531580515507
RUVBL2,RUVBL2,0.6339773023772401,-0.11360798580664166
ARF3,ARF3,0.7528523499165078,-0.1124917407654209
RPL7A,RPL7A,0.840836618619221,-0.11141094139162178
VCAN,VCAN,0.7272255715791697,-0.11133971893006134
CD82,CD82,0.840836618619221,-0.11025651957037397
PKM,PKM,0.42112118920453556,-0.10793938390060731
NUCB2,NUCB2,0.6213905467398357,-0.10734441713166376
EIF3B,EIF3B,0.3562859720120569,-0.10664384183370856
RCN3,RCN3,0.19789135737373545,-0.10456985116186956
FLNC,FLNC,0.7184982446292596,-0.10369762336857491
ENO1,ENO1,0.2502641395444516,-0.1028157979124309
CLIC4,CLIC4,0.840836618619221,-0.10039028268110428
CAV1,CAV1,0.7874153132015365,-0.09966576446819886
RPS17,RPS17,0.8398803355663927,-0.0987880556581544
CD44,CD44,0.49716413603551396,-0.09829642987822851
LAMC2,LAMC2,0.6492506616945838,-0.0959041485877492
MYH9,MYH9,0.840836618619221,-0.09174787921838856
HSPA5,HSPA5,0.439074783313065,-0.09119245540404464
PSMC2,PSMC2,0.7528523499165078,-0.08952213287342659
TMED10,TMED10,0.901404763510853,-0.0882613424173968
CLIC1,CLIC1,0.40710739637418436,-0.08760466210678075
TXN,TXN,0.8888561170098261,-0.0875348943201466
RO60,RO60,0.8287208466855747,-0.08600744246628977
SARS1,SARS1,0.6188022763986002,-0.08302400846871905
RPS11,RPS11,0.8125023827537486,-0.08042542294652577
ATP2B1,ATP2B1,0.8159748870377495,-0.07891700363836662
RPL3,RPL3,0.8235083221407562,-0.07792950357782757
COL3A1,COL3A1,0.7528523499165078,-0.0761028738296261
RPS3A,RPS3A,0.8084014939358917,-0.06946405498815267
ITGB3,ITGB3,0.8721719353956839,-0.06783466763552326
RPS9,RPS9,0.8989258583611086,-0.06560842014054913
PDIA3,PDIA3,0.7151328462788136,-0.05912316941225626
LDHB,LDHB,0.8334839207588924,-0.056388329696599016
SRPX,SRPX,0.7235505155585549,-0.056299124539872736
LAMP1,LAMP1,0.8125023827537486,-0.05592215921458532
MYL6,MYL6,0.7667144463362833,-0.05506658445003865
TIMP1,TIMP1,0.840836618619221,-0.053218820223047913
CCDC80,CCDC80,0.8825696700880313,-0.051629915656118186
HNRNPUL2-BSCL2,HNRNPUL2-BSCL2,0.8888561170098261,-0.050814131811311114
COL6A3,COL6A3,0.840836618619221,-0.050440680663061954
PLTP,PLTP,0.8888561170098261,-0.050201174400410054
COPB1,COPB1,0.9057089352981468,-0.04975421616199327
MFGE8,MFGE8,0.8748539843778909,-0.04829006328210994
ANXA1,ANXA1,0.8761407960731717,-0.04642062265233449
ARL6IP5,ARL6IP5,0.9248283154352926,-0.041874177091660414
SEPTIN9,SEPTIN9,0.8492516298655147,-0.04047351128266641
GPLD1,GPLD1,0.8748539843778909,-0.04039507091331984
DPYSL2,DPYSL2,0.6757214233500062,-0.04034562113587725
PRDX1,PRDX1,0.9059594192479506,-0.03540087594337038
RPL14,RPL14,0.9285792998828931,-0.03539028745769457
GNB1,GNB1,0.8525565542046277,-0.03527879868237349
CAPN2,CAPN2,0.8748539843778909,-0.033866954530665794
P4HA1,P4HA1,0.8748539843778909,-0.032601169525946716
SERPINC1,SERPINC1,0.8375805322465892,-0.030478820234584703
TMSB4X,TMSB4X,0.9120118519746813,-0.030153622870660257
DPT,DPT,0.8748539843778909,-0.02967492513532477
RTN3,RTN3,0.9241411318690512,-0.028693047864049248
PAFAH1B1,PAFAH1B1,0.8514951694121325,-0.028269559501950425
NRP2,NRP2,0.9193764215498752,-0.027510272871793973
ST8SIA4,ST8SIA4,0.9497657723608925,-0.023081686469634377
C1R,C1R,0.8159748870377495,-0.022003848405297788
ALDH9A1,ALDH9A1,0.9156436749609933,-0.021626673384574246
MYL12B,MYL12B,0.8748539843778909,-0.016392816985398184
GNB4,GNB4,0.9614612335884106,-0.015592872784026213
SPARC,SPARC,0.967683478980691,-0.01539599261913338
variant.TPM3,variant.TPM3,0.940687509222158,-0.011934467770867485
HP,HP,0.8084014939358917,-0.011604073842910623
MAN1A1,MAN1A1,0.9389903315291425,-0.01123106376840255
SEPTIN11,SEPTIN11,0.8748539843778909,-0.010104170263272039
MYO1C,MYO1C,0.9781194170527874,-0.009241685340295902
RPS8,RPS8,0.9434856918823749,-0.008006068623593876
RWDD1,RWDD1,0.9712058426192446,-0.0068782583255035945
ACTA1,ACTA1,0.9781194170527874,-0.005121941287118403
LUM,LUM,0.9927321535020656,0.00047470890216061434
YWHAQ,YWHAQ,0.989308602310186,0.0018966191019593737
GMPR,GMPR,0.9927321535020656,0.0019830885914196017
ANXA2,ANXA2,0.9759250428805831,0.006386013562973858
RPL27A,RPL27A,0.9712058426192446,0.009092393330938364
RTN4,RTN4,0.9497989225964574,0.012482721464543545
SDF4,SDF4,0.8748539843778909,0.014726191733789307
PDCD6IP,PDCD6IP,0.9450339148160309,0.016218235075765364
ITIH2,ITIH2,0.9057089352981468,0.016533202516725964
EHD2,EHD2,0.9474695205050101,0.016573152359814713
ARHGDIA,ARHGDIA,0.9539574760066968,0.01667157351252868
PRDX6,PRDX6,0.9614612335884106,0.017103237793751447
HSPA1B,HSPA1B,0.9255215447704571,0.017380915120043028
HBA1; HBA2,HBA1; HBA2,0.9539574760066968,0.01746146191358733
C1S,C1S,0.8748539843778909,0.017655761885905008
TAGLN,TAGLN,0.9676418490365585,0.01807464519863089
SCUBE3,SCUBE3,0.9431004886298827,0.018092950091816107
RAB11A,RAB11A,0.8119484676140354,0.018668850109357038
PGD,PGD,0.9539574760066968,0.019183345335477497
AHNAK,AHNAK,0.8894783942040198,0.019573762080348445
RPS25,RPS25,0.9712058426192446,0.020238481322603974
ERP44,ERP44,0.8488446078157239,0.022676546463742397
SERPINA1,SERPINA1,0.840836618619221,0.022727287975314425
RPL8,RPL8,0.940687509222158,0.02401892665482208
ILK,ILK,0.8748539843778909,0.028342001075628787
C9,C9,0.840836618619221,0.028520156871241653
TUBB6,TUBB6,0.910496398088413,0.03215584528470572
CLU,CLU,0.8514951694121325,0.03299834169966687
HTRA1,HTRA1,0.840836618619221,0.03353350155511947
FN1,FN1,0.854680397517251,0.034381468544779636
INHBA,INHBA,0.7979498766545651,0.03627946848784802
NPEPPS,NPEPPS,0.9120118519746813,0.036447294811249975
LOXL3,LOXL3,0.8538876899406349,0.04044148620246801
PAIP1,PAIP1,0.8748539843778909,0.04203365223470357
AHCY,AHCY,0.8674711824487157,0.04247906565381143
SDC4,SDC4,0.8748539843778909,0.043891417932503174
PYGB,PYGB,0.9044940196879031,0.04515754646955017
TALDO1,TALDO1,0.8952303869240907,0.04607789557415032
HABP2,HABP2,0.6222707338943063,0.04884276985249869
ITIH4,ITIH4,0.7149567019966074,0.049930097456222455
MYOF,MYOF,0.9044940196879031,0.05155557365823071
EPB41L2,EPB41L2,0.840836618619221,0.05609098055105832
ANXA11,ANXA11,0.7979498766545651,0.06000239867782042
PGAM1,PGAM1,0.5545901879960464,0.06208264216041215
TUBB2A,TUBB2A,0.8670245937908118,0.06422037457731022
SERPIND1,SERPIND1,0.8748539843778909,0.06575159252406237
SLC44A1,SLC44A1,0.8748539843778909,0.06620886074096788
LMNA,LMNA,0.8991691199499646,0.06818900542569395
CADM1,CADM1,0.7999986637182052,0.06853197071349726
ALPL,ALPL,0.6857679223046587,0.06927588295386755
RPS20,RPS20,0.7370878554121968,0.06996353664450439
CCT2,CCT2,0.8748539843778909,0.07158808686687479
GARS1,GARS1,0.840836618619221,0.0724898842710715
LRP1,LRP1,0.719354949059315,0.07294296518591992
SRPX2,SRPX2,0.7417409536185651,0.07360197038528682
LRRN4,LRRN4,0.33811447660353133,0.07371899713187346
IGFBP4,IGFBP4,0.8888561170098261,0.07380435741063351
AP3D1,AP3D1,0.8748539843778909,0.07599604938412341
RAB7A,RAB7A,0.6159772118080048,0.07858891885680919
ACTR3,ACTR3,0.6926799619716133,0.07883126383319095
GSTP1,GSTP1,0.6452041222101748,0.07893168227955982
A2M,A2M,0.7924610691200789,0.07969389273999639
PFKL,PFKL,0.8766757159198213,0.07986264341996119
