"","GLU4-2D-2_S20-UMIs","GLU4-2D-3_S23-UMIs","GLU4-2D-4_S24-UMIs","GLU4-3D-1_S27-UMIs","GLU4-3D-2_S28-UMIs","GLU4-3D-3_S31-UMIs","GLU4-3D-4_S32-UMIs","WT-3D-1_S25-UMIs","WT-3D-2_S26-UMIs","WT-3D-3_S29-UMIs","WT-3D-4_S30-UMIs","WT-2D-4_S22-UMIs","WT-2D-3_S21-UMIs"
"hsa-miR-6087",45,1307,1582,218,78,171,1044,237,58,9,85,870,412
"hsa-miR-663a",8,182,41,32,20,8,130,26,3,4,13,86,56
"hsa-miR-6724-5p",1,129,50,19,1,14,80,13,17,2,20,86,39
"hsa-miR-6749-5p",11,31,43,27,6,190,51,1,1,1,13,28,1
"hsa-miR-6752-3p",21,34,25,27,35,130,86,21,19,16,37,39,19
"hsa-miR-6756-3p",15,45,36,25,52,482,88,20,35,7,53,53,32
"hsa-miR-6789-5p",477,3565,3077,520,240,875,3730,606,187,40,306,2235,1135
"hsa-miR-6802-5p",23,43,26,47,35,116,117,13,13,6,21,49,20
"hsa-miR-6823-3p",56,99,109,13,5,26,72,12,2,1,12,84,61
"hsa-miR-6832-3p",76,207,81,12,8,44,107,14,9,1,15,95,45
"hsa-miR-6865-3p",88,93,77,33,15,39,87,26,17,1,23,85,47
"hsa-miR-6869-5p",7,831,80,126,49,113,511,94,41,8,107,375,201
"hsa-miR-6885-5p",6,96,114,63,19,8,137,19,30,6,43,67,35
"hsa-miR-7110-3p",229,411,440,52,43,91,290,66,24,6,71,319,159
"hsa-miR-7704",11,2753,1777,876,611,1265,4812,853,339,95,622,2093,817
