"miRNA","Target / Target pathway","Support","Source","Experiment(s)","Reference - PMID"
"hsa-miR-122-5p","SLC19A2","Functional MTI (Weak)","MIRT023284","Microarray","17612493"
"hsa-miR-122-5p","SSR3","Functional MTI (Weak)","MIRT023217","Microarray","17612493"
"hsa-miR-122-5p","PHOX2A","Functional MTI (Weak)","MIRT023218","Microarray","19296470"
"hsa-miR-122-5p","DZIP1L","Functional MTI (Weak)","MIRT023219","Microarray","19296470"
"hsa-miR-122-5p","RAI14","Functional MTI (Weak)","MIRT023221","Microarray","20633528"
"hsa-miR-122-5p","STARD13","Functional MTI (Weak)","MIRT023222","Microarray","17612493"
"hsa-miR-122-5p","CNN3","Functional MTI (Weak)","MIRT023223","Proteomics","21750653"
"hsa-miR-122-5p","A2M","Functional MTI (Weak)","MIRT023224","Microarray","17612493"
"hsa-miR-122-5p","EFCAB6","Functional MTI (Weak)","MIRT023225","Proteomics","21750653"
"hsa-miR-122-5p","GLOD4","Functional MTI (Weak)","MIRT023226","Proteomics","21750653"
"hsa-miR-122-5p","CALR","Functional MTI (Weak)","MIRT023227","Proteomics","21750653"
"hsa-miR-122-5p","POFUT1","Functional MTI (Weak)","MIRT023228","Microarray","17612493"
"hsa-miR-122-5p","PYGO1","Functional MTI (Weak)","MIRT023229","Microarray","17612493"
"hsa-miR-122-5p","CDY2B","Functional MTI (Weak)","MIRT023230","Microarray","17612493"
"hsa-miR-122-5p","CDC42EP3","Functional MTI (Weak)","MIRT023231","Microarray","17612493"
"hsa-miR-122-5p","CS","Functional MTI (Weak)","MIRT023232","PAR-CLIP","23592263"
"hsa-miR-122-5p","RNF170","Functional MTI (Weak)","MIRT023233","Microarray","17612493"
"hsa-miR-122-5p","RNF170","Functional MTI (Weak)","MIRT023233","HITS-CLIP","23824327"
"hsa-miR-122-5p","GTF3C6","Functional MTI (Weak)","MIRT023234","Microarray","17612493"
"hsa-miR-122-5p","ZNF321P","Functional MTI (Weak)","MIRT023235","Microarray","17612493"
"hsa-miR-122-5p","LAMP1","Functional MTI (Weak)","MIRT023236","Microarray","17612493"
"hsa-miR-122-5p","SLC52A2","Functional MTI (Weak)","MIRT023237","Microarray","17612493"
"hsa-miR-122-5p","ZNF658","Functional MTI (Weak)","MIRT023238","Microarray","17612493"
"hsa-miR-122-5p","ATP13A3","Functional MTI (Weak)","MIRT023239","Microarray","17612493"
"hsa-miR-122-5p","CPNE5","Functional MTI (Weak)","MIRT023240","Microarray","17612493"
"hsa-miR-122-5p","KATNAL1","Functional MTI (Weak)","MIRT023241","Microarray","17612493"
"hsa-miR-122-5p","TMEM136","Functional MTI (Weak)","MIRT023242","Microarray","17612493"
"hsa-miR-122-5p","TMEM74","Functional MTI (Weak)","MIRT023244","Microarray","17612493"
"hsa-miR-122-5p","ANKRD10","Functional MTI (Weak)","MIRT023245","Microarray","17612493"
"hsa-miR-122-5p","TBL1XR1","Functional MTI (Weak)","MIRT023246","Microarray","17612493"
"hsa-miR-122-5p","USP10","Functional MTI (Weak)","MIRT023247","Microarray","17612493"
"hsa-miR-122-5p","AKAP11","Functional MTI (Weak)","MIRT023248","Microarray","17612493"
"hsa-miR-122-5p","HCCS","Functional MTI (Weak)","MIRT023250","Proteomics","21750653"
"hsa-miR-122-5p","POMGNT2","Functional MTI (Weak)","MIRT023252","Microarray","17612493"
"hsa-miR-122-5p","CTPS1","Functional MTI (Weak)","MIRT023253","Microarray","17612493"
"hsa-miR-122-5p","SLC44A1","Functional MTI (Weak)","MIRT023254","Microarray","17612493"
"hsa-miR-122-5p","CLSPN","Functional MTI (Weak)","MIRT023255","Microarray","17612493"
"hsa-miR-122-5p","RABGEF1","Functional MTI (Weak)","MIRT023256","Microarray","17612493"
"hsa-miR-122-5p","FBXO7","Functional MTI (Weak)","MIRT023257","Microarray","17612493"
"hsa-miR-122-5p","NCDN","Functional MTI (Weak)","MIRT023258","Microarray","17612493"
"hsa-miR-122-5p","SOX2","Functional MTI (Weak)","MIRT023259","Microarray","17612493"
"hsa-miR-122-5p","ZNF618","Functional MTI (Weak)","MIRT023260","Microarray","17612493"
"hsa-miR-122-5p","ABLIM1","Functional MTI (Weak)","MIRT023261","Microarray","17612493"
"hsa-miR-122-5p","ZBTB4","Functional MTI (Weak)","MIRT023262","Microarray","17612493"
"hsa-miR-122-5p","LUZP1","Functional MTI (Weak)","MIRT023263","Microarray","17612493"
"hsa-miR-122-5p","NLGN3","Functional MTI (Weak)","MIRT023264","Microarray","17612493"
"hsa-miR-122-5p","PRR11","Functional MTI (Weak)","MIRT023265","Microarray","17612493"
"hsa-miR-122-5p","HHAT","Functional MTI (Weak)","MIRT023266","Microarray","17612493"
"hsa-miR-122-5p","UBE2L3","Functional MTI (Weak)","MIRT023267","Microarray","17612493"
"hsa-miR-122-5p","DNAJC18","Functional MTI (Weak)","MIRT023268","Microarray","17612493"
"hsa-miR-122-5p","FAM102A","Functional MTI (Weak)","MIRT023269","Microarray","17612493"
"hsa-miR-122-5p","PFKFB2","Functional MTI (Weak)","MIRT023270","Microarray","17612493"
"hsa-miR-122-5p","DENND2C","Functional MTI (Weak)","MIRT023271","Microarray","17612493"
"hsa-miR-122-5p","HMOX1","Functional MTI","MIRT023272","Western blot;qRT-PCR","20633528"
"hsa-miR-122-5p","HMOX1","Functional MTI (Weak)","MIRT023272","Microarray","17612493"
"hsa-miR-122-5p","USP28","Functional MTI (Weak)","MIRT023273","Microarray","17612493"
"hsa-miR-122-5p","KRT18","Functional MTI (Weak)","MIRT023274","Proteomics","17612493"
"hsa-miR-122-5p","BPGM","Functional MTI (Weak)","MIRT023275","Microarray","17612493"
"hsa-miR-122-5p","ZNF233","Functional MTI (Weak)","MIRT023276","Microarray","17612493"
"hsa-miR-122-5p","SLC25A30","Functional MTI (Weak)","MIRT023277","Microarray","17612493"
"hsa-miR-122-5p","ANKRD9","Functional MTI (Weak)","MIRT023278","HITS-CLIP","23824327"
"hsa-miR-122-5p","TRIM65","Functional MTI (Weak)","MIRT023281","Microarray","17612493"
"hsa-miR-122-5p","B4GALT1","Functional MTI (Weak)","MIRT023282","Microarray","17612493"
"hsa-miR-122-5p","ANXA7","Functional MTI (Weak)","MIRT023283","Proteomics","21750653"
"hsa-miR-122-5p","DYNC1H1","Functional MTI (Weak)","MIRT023355","Microarray","17612493"
"hsa-miR-122-5p","GNL3L","Functional MTI (Weak)","MIRT023356","Microarray","17612493"
"hsa-miR-122-5p","HLA-DQA1","Functional MTI (Weak)","MIRT023357","Microarray","17612493"
"hsa-miR-122-5p","EYA4","Functional MTI (Weak)","MIRT023358","Microarray","17612493"
"hsa-miR-122-5p","GNPDA2","Functional MTI (Weak)","MIRT023359","Microarray","17612493"
"hsa-miR-122-5p","BRCA2","Functional MTI (Weak)","MIRT023360","Microarray","17612493"
"hsa-miR-122-5p","ZSCAN4","Functional MTI (Weak)","MIRT023361","Microarray","17612493"
"hsa-miR-122-5p","SERAC1","Functional MTI (Weak)","MIRT023363","Microarray","17612493"
"hsa-miR-122-5p","SLC15A2","Functional MTI (Weak)","MIRT023364","Microarray","17612493"
"hsa-miR-122-5p","ART3","Functional MTI (Weak)","MIRT023366","Microarray","17612493"
"hsa-miR-122-5p","EP400","Functional MTI (Weak)","MIRT023367","Microarray","17612493"
"hsa-miR-122-5p","MT4","Functional MTI (Weak)","MIRT023368","Microarray","17612493"
"hsa-miR-122-5p","TRAM2","Functional MTI (Weak)","MIRT023369","Microarray","17612493"
"hsa-miR-122-5p","PHPT1","Functional MTI (Weak)","MIRT023370","Proteomics","21750653"
"hsa-miR-122-5p","PCLAF","Functional MTI (Weak)","MIRT023371","Microarray","17612493"
"hsa-miR-122-5p","VHL","Functional MTI (Weak)","MIRT023372","Microarray","17612493"
"hsa-miR-122-5p","IFNA1","Functional MTI (Weak)","MIRT023373","Microarray","17612493"
"hsa-miR-122-5p","FSTL3","Functional MTI (Weak)","MIRT023374","Microarray","17612493"
"hsa-miR-122-5p","PHF14","Functional MTI (Weak)","MIRT023375","Microarray","17612493"
"hsa-miR-122-5p","ZCCHC2","Functional MTI (Weak)","MIRT023376","Microarray","17612493"
"hsa-miR-122-5p","GSTM3","Functional MTI (Weak)","MIRT023377","Proteomics","21750653"
"hsa-miR-122-5p","DCTN5","Functional MTI (Weak)","MIRT023378","Microarray","17612493"
"hsa-miR-122-5p","CHST3","Functional MTI (Weak)","MIRT023379","Microarray","17612493"
"hsa-miR-122-5p","HECW2","Functional MTI (Weak)","MIRT023380","Microarray","17612493"
"hsa-miR-122-5p","ADO","Functional MTI (Weak)","MIRT023381","Microarray","17612493"
"hsa-miR-122-5p","POMZP3","Functional MTI (Weak)","MIRT023382","Microarray","17612493"
"hsa-miR-122-5p","CHST12","Functional MTI (Weak)","MIRT023383","Microarray","17612493"
"hsa-miR-122-5p","ARSB","Functional MTI (Weak)","MIRT023384","Microarray","17612493"
"hsa-miR-122-5p","ATP7A","Functional MTI (Weak)","MIRT023385","Microarray","17612493"
"hsa-miR-122-5p","PMP22","Functional MTI (Weak)","MIRT023386","Microarray","17612493"
"hsa-miR-122-5p","TGFBRAP1","Functional MTI (Weak)","MIRT023387","Microarray","17612493"
"hsa-miR-122-5p","ORC2","Functional MTI (Weak)","MIRT023388","Microarray","17612493"
"hsa-miR-122-5p","CREB1","Functional MTI (Weak)","MIRT023389","Microarray","17612493"
"hsa-miR-122-5p","CREB1","Functional MTI","MIRT023389","Luciferase reporter assay, qRT-PCR, Western blot","28337380"
"hsa-miR-122-5p","CD83","Functional MTI (Weak)","MIRT023390","Microarray","17612493"
"hsa-miR-122-5p","TOB2","Functional MTI (Weak)","MIRT023391","Microarray","17612493"
"hsa-miR-122-5p","TOB2","Functional MTI (Weak)","MIRT023391","PAR-CLIP","23592263"
"hsa-miR-122-5p","TOB2","Functional MTI (Weak)","MIRT023391","PAR-CLIP","20371350"
"hsa-miR-122-5p","LRP11","Functional MTI (Weak)","MIRT023392","Microarray","17612493"
"hsa-miR-122-5p","MPV17","Functional MTI (Weak)","MIRT023393","Microarray","17612493"
"hsa-miR-122-5p","TRIM29","Functional MTI (Weak)","MIRT023394","Microarray","17612493"
"hsa-miR-122-5p","OSBP2","Functional MTI (Weak)","MIRT023395","Microarray","17612493"
"hsa-miR-122-5p","PKM","Functional MTI (Weak)","MIRT023396","Microarray","17612493"
"hsa-miR-122-5p","PKM","Functional MTI","MIRT023396","Luciferase reporter assay, qRT-PCR, Western blot","24466275"
"hsa-miR-122-5p","PKM","Functional MTI (Weak)","MIRT023396","PAR-CLIP","23592263"
"hsa-miR-122-5p","FOXK2","Functional MTI (Weak)","MIRT023397","Microarray","17612493"
"hsa-miR-122-5p","FOXK2","Functional MTI (Weak)","MIRT023397","PAR-CLIP","23592263"
"hsa-miR-122-5p","CLIC4","Functional MTI (Weak)","MIRT023398","Microarray","17612493"
"hsa-miR-122-5p","CLIC4","Functional MTI (Weak)","MIRT023398","PAR-CLIP","21572407"
"hsa-miR-122-5p","CLIC4","Functional MTI (Weak)","MIRT023398","PAR-CLIP","20371350"
"hsa-miR-122-5p","CLIC4","Functional MTI","MIRT023398","Luciferase reporter assay, qRT-PCR","23793894"
"hsa-miR-122-5p","ST6GALNAC4","Functional MTI (Weak)","MIRT023399","Microarray","17612493"
"hsa-miR-122-5p","SMURF2","Functional MTI (Weak)","MIRT023400","Microarray","17612493"
"hsa-miR-122-5p","LMNB2","Functional MTI (Weak)","MIRT023401","Microarray","17612493"
"hsa-miR-122-5p","LMNB2","Functional MTI (Weak)","MIRT023401","PAR-CLIP","21572407"
"hsa-miR-122-5p","LMNB2","Functional MTI (Weak)","MIRT023401","PAR-CLIP","20371350"
"hsa-miR-122-5p","BAX","Functional MTI (Weak)","MIRT023402","Microarray","17612493"
"hsa-miR-122-5p","BAX","Functional MTI","MIRT023402","Western blot","18692484"
"hsa-miR-122-5p","CDK4","Functional MTI","MIRT023403","Reporter assay","21750653"
"hsa-miR-122-5p","CDK4","Functional MTI (Weak)","MIRT023403","HITS-CLIP","23824327"
"hsa-miR-122-5p","MARCKS","Functional MTI (Weak)","MIRT023285","Microarray","17612493"
"hsa-miR-122-5p","CLEC11A","Functional MTI (Weak)","MIRT023286","Microarray","17612493"
"hsa-miR-122-5p","CENPF","Functional MTI (Weak)","MIRT023287","Proteomics","21750653"
"hsa-miR-122-5p","PFDN1","Functional MTI (Weak)","MIRT023289","Microarray","17612493"
"hsa-miR-122-5p","SPAG9","Functional MTI (Weak)","MIRT023290","Microarray","17612493"
"hsa-miR-122-5p","CEACAM8","Functional MTI (Weak)","MIRT023291","Microarray","17612493"
"hsa-miR-122-5p","KRT10","Functional MTI (Weak)","MIRT023292","Proteomics","21750653"
"hsa-miR-122-5p","SET","Functional MTI (Weak)","MIRT023293","Proteomics","21750653"
"hsa-miR-122-5p","SLC11A2","Functional MTI (Weak)","MIRT023294","Microarray","17612493"
"hsa-miR-122-5p","MYCBP","Functional MTI (Weak)","MIRT023295","Microarray","17612493"
"hsa-miR-122-5p","MYCBP","Functional MTI (Weak)","MIRT023295","HITS-CLIP","23824327"
"hsa-miR-122-5p","GPHB5","Functional MTI (Weak)","MIRT023296","Microarray","17612493"
"hsa-miR-122-5p","STAU2","Functional MTI (Weak)","MIRT023297","Microarray","17612493"
"hsa-miR-122-5p","ERP29","Functional MTI (Weak)","MIRT023299","Proteomics","21750653"
"hsa-miR-122-5p","SPTLC1","Functional MTI (Weak)","MIRT023301","Microarray","17612493"
"hsa-miR-122-5p","GTF2H2","Functional MTI (Weak)","MIRT023302","Microarray","17612493"
"hsa-miR-122-5p","C14orf39","Functional MTI (Weak)","MIRT023303","Microarray","17612493"
"hsa-miR-122-5p","UBE2K","Functional MTI (Weak)","MIRT023304","Proteomics","21750653"
"hsa-miR-122-5p","PPP1R9B","Functional MTI (Weak)","MIRT023305","Microarray","17612493"
"hsa-miR-122-5p","PSMD10","Functional MTI (Weak)","MIRT023306","Proteomics","21750653"
"hsa-miR-122-5p","CALD1","Functional MTI (Weak)","MIRT023307","Proteomics","21750653"
"hsa-miR-122-5p","NMNAT2","Functional MTI (Weak)","MIRT023309","Microarray","17612493"
"hsa-miR-122-5p","SCN4B","Functional MTI (Weak)","MIRT023310","Microarray","17612493"
"hsa-miR-122-5p","C1orf122","Functional MTI (Weak)","MIRT023311","Microarray","17612493"
"hsa-miR-122-5p","PAK1","Functional MTI (Weak)","MIRT023312","Microarray","17612493"
"hsa-miR-122-5p","DNAJB1","Functional MTI (Weak)","MIRT023313","Microarray","17612493"
"hsa-miR-122-5p","DMXL1","Functional MTI (Weak)","MIRT023314","Microarray","17612493"
"hsa-miR-122-5p","ZNF160","Functional MTI (Weak)","MIRT023315","Microarray","17612493"
"hsa-miR-122-5p","CSRP1","Functional MTI (Weak)","MIRT023316","Microarray","17612493"
"hsa-miR-122-5p","PHKA1","Functional MTI (Weak)","MIRT023317","Microarray","17612493"
"hsa-miR-122-5p","RBBP5","Functional MTI (Weak)","MIRT023318","Microarray","17612493"
"hsa-miR-122-5p","ANKRD13C","Functional MTI (Weak)","MIRT023319","Microarray","17612493"
"hsa-miR-122-5p","SUCLA2","Functional MTI (Weak)","MIRT023320","Microarray","17612493"
"hsa-miR-122-5p","PEA15","Functional MTI (Weak)","MIRT023321","Microarray","17612493"
"hsa-miR-122-5p","MTPN","Functional MTI (Weak)","MIRT023322","Microarray","17612493"
"hsa-miR-122-5p","YKT6","Functional MTI (Weak)","MIRT023323","Microarray","17612493"
"hsa-miR-122-5p","MOB3B","Functional MTI (Weak)","MIRT023324","Microarray","17612493"
"hsa-miR-122-5p","FAM118A","Functional MTI (Weak)","MIRT023325","Microarray","17612493"
"hsa-miR-122-5p","ZNF264","Functional MTI (Weak)","MIRT023326","Microarray","17612493"
"hsa-miR-122-5p","HECTD3","Functional MTI (Weak)","MIRT023327","Microarray","17612493"
"hsa-miR-122-5p","BATF2","Functional MTI (Weak)","MIRT023328","Microarray","17612493"
"hsa-miR-122-5p","PIP4K2A","Functional MTI (Weak)","MIRT023329","Microarray","17612493"
"hsa-miR-122-5p","MAPRE1","Functional MTI (Weak)","MIRT023330","Microarray","17612493"
"hsa-miR-122-5p","TBC1D22B","Functional MTI (Weak)","MIRT023331","Microarray","17612493"
"hsa-miR-122-5p","SLC9A1","Functional MTI (Weak)","MIRT023332","Microarray","17612493"
"hsa-miR-122-5p","SLC9A1","Functional MTI (Weak)","MIRT023332","PAR-CLIP","23592263"
"hsa-miR-122-5p","NPEPPS","Functional MTI (Weak)","MIRT023333","Microarray","17612493"
"hsa-miR-122-5p","CALU","Functional MTI (Weak)","MIRT023336","Proteomics","21750653"
"hsa-miR-122-5p","BRI3BP","Functional MTI (Weak)","MIRT023337","Microarray","17612493"
"hsa-miR-122-5p","PSPH","Functional MTI (Weak)","MIRT023338","Proteomics","21750653"
"hsa-miR-122-5p","APMAP","Functional MTI (Weak)","MIRT023339","Proteomics","21750653"
"hsa-miR-122-5p","WASF1","Functional MTI (Weak)","MIRT023340","Microarray","17612493"
"hsa-miR-122-5p","LCA5","Functional MTI (Weak)","MIRT023341","Microarray","17612493"
"hsa-miR-122-5p","NODAL","Functional MTI (Weak)","MIRT023342","Microarray","17612493"
"hsa-miR-122-5p","CASP7","Functional MTI (Weak)","MIRT023343","Microarray","17612493"
"hsa-miR-122-5p","CPA3","Functional MTI (Weak)","MIRT023344","Microarray","17612493"
"hsa-miR-122-5p","TCP11","Functional MTI (Weak)","MIRT023346","Microarray","17612493"
"hsa-miR-122-5p","NALCN","Functional MTI (Weak)","MIRT023347","Microarray","17612493"
"hsa-miR-122-5p","PLAGL2","Functional MTI (Weak)","MIRT023348","Microarray","17612493"
"hsa-miR-122-5p","IDS","Functional MTI (Weak)","MIRT023349","Microarray","17612493"
"hsa-miR-122-5p","IDS","Functional MTI (Weak)","MIRT023349","HITS-CLIP","24906430"
"hsa-miR-122-5p","PARP11","Functional MTI (Weak)","MIRT023350","Microarray","17612493"
"hsa-miR-122-5p","MAZ","Functional MTI (Weak)","MIRT023351","Microarray","17612493"
"hsa-miR-122-5p","CPNE4","Functional MTI (Weak)","MIRT023352","Microarray","17612493"
"hsa-miR-122-5p","FAM19A3","Functional MTI (Weak)","MIRT023353","Microarray","17612493"
"hsa-miR-122-5p","KRT14","Functional MTI (Weak)","MIRT023354","Microarray","17612493"
"hsa-miR-122-5p","Cux1","Functional MTI (Weak)","MIRT054362","qRT-PCR","22815988"
"hsa-miR-122-5p","TNRC6A","Functional MTI (Weak)","MIRT074336","PAR-CLIP","23446348"
"hsa-miR-122-5p","VMA21","Functional MTI (Weak)","MIRT109185","PAR-CLIP","21572407"
"hsa-miR-122-5p","VMA21","Functional MTI (Weak)","MIRT109185","PAR-CLIP","20371350"
"hsa-miR-122-5p","ACER2","Functional MTI (Weak)","MIRT324745","PAR-CLIP","24398324"
"hsa-miR-122-5p","MFSD14B","Functional MTI (Weak)","MIRT325564","PAR-CLIP","23592263"
"hsa-miR-122-5p","MFSD14B","Functional MTI (Weak)","MIRT325564","PAR-CLIP","21572407"
"hsa-miR-122-5p","MFSD14B","Functional MTI (Weak)","MIRT325564","PAR-CLIP","26701625"
"hsa-miR-122-5p","MEF2D","Functional MTI","MIRT438005","Luciferase reporter assay","24390737"
