I.No	gene_symbol	gene_ensembl_id	mirna_name	mirna_db_id	interaction_score
41	BTRC	ENSG00000166167	hsa-miR-16-5p	MIMAT0000069	0.999078935369469
42	GOLGA1	ENSG00000136935	hsa-miR-16-5p	MIMAT0000069	0.999041240149065
43	TMEM74B	ENSG00000125895	hsa-miR-16-5p	MIMAT0000069	0.999011113794586
44	MGAT4A	ENSG00000071073	hsa-miR-16-5p	MIMAT0000069	0.998999804252382
45	SPAG7	ENSG00000091640	hsa-miR-16-5p	MIMAT0000069	0.998987905986002
46	TENM2	ENSG00000145934	hsa-miR-16-5p	MIMAT0000069	0.998952490996153
47	SLC11A2	ENSG00000110911	hsa-miR-16-5p	MIMAT0000069	0.998929027795885
48	SLC2A14	ENSG00000173262	hsa-miR-16-5p	MIMAT0000069	0.998897205368196
49	SEL1L3	ENSG00000091490	hsa-miR-16-5p	MIMAT0000069	0.998798860388542
50	SLC2A3	ENSG00000059804	hsa-miR-16-5p	MIMAT0000069	0.998757045797319
51	ZHX3	ENSG00000174306	hsa-miR-16-5p	MIMAT0000069	0.998680843617822
52	CHEK1	ENSG00000149554	hsa-miR-16-5p	MIMAT0000069	0.998595444561861
53	UBE4B	ENSG00000130939	hsa-miR-16-5p	MIMAT0000069	0.998592500779479
54	SKI	ENSG00000157933	hsa-miR-16-5p	MIMAT0000069	0.998560152464141
55	NMNAT3	ENSG00000163864	hsa-miR-16-5p	MIMAT0000069	0.998540641765186
56	CCNT2	ENSG00000082258	hsa-miR-16-5p	MIMAT0000069	0.998529977500786
57	DYRK1B	ENSG00000105204	hsa-miR-16-5p	MIMAT0000069	0.998510035806386
58	GAREM1	ENSG00000141441	hsa-miR-16-5p	MIMAT0000069	0.998396195682481
59	SREK1	ENSG00000153914	hsa-miR-16-5p	MIMAT0000069	0.998331899307379
60	DNAJC5B	ENSG00000147570	hsa-miR-16-5p	MIMAT0000069	0.998299720831588
61	YTHDC1	ENSG00000083896	hsa-miR-16-5p	MIMAT0000069	0.998267795004703
62	WIPI2	ENSG00000157954	hsa-miR-16-5p	MIMAT0000069	0.998244315870268
63	CACNB2	ENSG00000165995	hsa-miR-16-5p	MIMAT0000069	0.998197513530099
64	WNT3A	ENSG00000154342	hsa-miR-16-5p	MIMAT0000069	0.998161939006809
65	ZMYM2	ENSG00000121741	hsa-miR-16-5p	MIMAT0000069	0.99816103437924
66	NOS1	ENSG00000089250	hsa-miR-16-5p	MIMAT0000069	0.99813789018741
67	DESI1	ENSG00000100418	hsa-miR-16-5p	MIMAT0000069	0.998110383751489
68	SLCO5A1	ENSG00000137571	hsa-miR-122-5p	MIMAT0000421	0.998068574924885
69	CD2AP	ENSG00000198087	hsa-miR-16-5p	MIMAT0000069	0.997765663525551
70	SEMA6D	ENSG00000137872	hsa-miR-16-5p	MIMAT0000069	0.997611929956367
71	C12orf45	ENSG00000151131	hsa-miR-486-5p	MIMAT0002177	0.997569404685414
72	CDK17	ENSG00000059758	hsa-miR-16-5p	MIMAT0000069	0.997531564740428
73	CACUL1	ENSG00000151893	hsa-miR-16-5p	MIMAT0000069	0.99752495577164
74	IHH	ENSG00000163501	hsa-miR-16-5p	MIMAT0000069	0.997444082669743
75	ARMC8	ENSG00000114098	hsa-miR-486-5p	MIMAT0002177	0.997443375165403
76	PRRC2C	ENSG00000117523	hsa-miR-16-5p	MIMAT0000069	0.997353951317974
77	MTMR3	ENSG00000100330	hsa-miR-16-5p	MIMAT0000069	0.997283176244589
78	MUC17	ENSG00000169876	hsa-miR-122-5p	MIMAT0000421	0.997259831454663
79	NPEPPS	ENSG00000141279	hsa-miR-16-5p	MIMAT0000069	0.99715395547668
80	DCAF8	ENSG00000132716	hsa-miR-16-5p	MIMAT0000069	0.996958789664803
81	CUX1	ENSG00000257923	hsa-miR-122-5p	MIMAT0000421	0.996863116577949
82	ARL2	ENSG00000213465	hsa-miR-16-5p	MIMAT0000069	0.996829425478081
83	RBMS1	ENSG00000153250	hsa-miR-16-5p	MIMAT0000069	0.996822621625368
84	PTPN4	ENSG00000088179	hsa-miR-16-5p	MIMAT0000069	0.99677615687769
85	DOCK3	ENSG00000088538	hsa-miR-486-5p	MIMAT0002177	0.996690556000715
86	FBXO21	ENSG00000135108	hsa-miR-16-5p	MIMAT0000069	0.996658604172276
87	PDGFC	ENSG00000145431	hsa-miR-486-5p	MIMAT0002177	0.996527497962291
88	TSPYL2	ENSG00000184205	hsa-miR-16-5p	MIMAT0000069	0.996491085193195
89	CPEB3	ENSG00000107864	hsa-miR-16-5p	MIMAT0000069	0.996433192357032
90	UNC5C	ENSG00000182168	hsa-miR-486-5p	MIMAT0002177	0.996410069641246
91	ABHD16A	ENSG00000204427	hsa-miR-486-5p	MIMAT0002177	0.996407647836698
92	IPO7	ENSG00000205339	hsa-miR-16-5p	MIMAT0000069	0.996367157201132
93	DLEU7	ENSG00000186047	hsa-miR-16-5p	MIMAT0000069	0.99624227891691
94	N4BP1	ENSG00000102921	hsa-miR-16-5p	MIMAT0000069	0.996237390926055
95	TNFSF13B	ENSG00000102524	hsa-miR-16-5p	MIMAT0000069	0.996193069502303
96	PTH	ENSG00000152266	hsa-miR-16-5p	MIMAT0000069	0.996010204363548
97	MBNL2	ENSG00000139793	hsa-miR-16-5p	MIMAT0000069	0.995966885444148
98	TOB1	ENSG00000141232	hsa-miR-486-5p	MIMAT0002177	0.995958448810069
99	KLHDC8B	ENSG00000185909	hsa-miR-16-5p	MIMAT0000069	0.995951957976897
100	E2F3	ENSG00000112242	hsa-miR-16-5p	MIMAT0000069	0.995861794198437
101	RECK	ENSG00000122707	hsa-miR-16-5p	MIMAT0000069	0.995834969594441
102	ACSL4	ENSG00000068366	hsa-miR-16-5p	MIMAT0000069	0.995776584027553
103	EPHA7	ENSG00000135333	hsa-miR-16-5p	MIMAT0000069	0.995763649795041
104	NYNRIN	ENSG00000205978	hsa-miR-16-5p	MIMAT0000069	0.995763590256542
105	PTPRD	ENSG00000153707	hsa-miR-16-5p	MIMAT0000069	0.995705066139926
106	MTAP	ENSG00000099810	hsa-miR-16-5p	MIMAT0000069	0.995698772904424
107	EBLN2	ENSG00000255423	hsa-miR-122-5p	MIMAT0000421	0.995672470346054
108	AKT3	ENSG00000117020	hsa-miR-16-5p	MIMAT0000069	0.995661140340922
109	MKNK1	ENSG00000079277	hsa-miR-16-5p	MIMAT0000069	0.995644827536689
110	SIRPB1	ENSG00000101307	hsa-miR-122-5p	MIMAT0000421	0.995627414768953
111	WNT7A	ENSG00000154764	hsa-miR-16-5p	MIMAT0000069	0.995553663107866
112	RFX3	ENSG00000080298	hsa-miR-16-5p	MIMAT0000069	0.995531270775738
113	CDK5R1	ENSG00000176749	hsa-miR-16-5p	MIMAT0000069	0.99551297911393
114	CDC37L1	ENSG00000106993	hsa-miR-16-5p	MIMAT0000069	0.995479807657902
115	PEX13	ENSG00000162928	hsa-miR-16-5p	MIMAT0000069	0.995389179236858
116	SLC35G1	ENSG00000176273	hsa-miR-16-5p	MIMAT0000069	0.99520372718066
117	EDA	ENSG00000158813	hsa-miR-16-5p	MIMAT0000069	0.994998739191284
118	KIF5A	ENSG00000155980	hsa-miR-16-5p	MIMAT0000069	0.994810863537424
119	XPO7	ENSG00000130227	hsa-miR-16-5p	MIMAT0000069	0.994730555046299
120	HTR4	ENSG00000164270	hsa-miR-16-5p	MIMAT0000069	0.994705107163512
121	DDX3Y	ENSG00000067048	hsa-miR-16-5p	MIMAT0000069	0.994568238196264
122	BICD1	ENSG00000151746	hsa-miR-16-5p	MIMAT0000069	0.994562299735318
123	SOX11	ENSG00000176887	hsa-miR-122-5p	MIMAT0000421	0.994553367312241
124	TRABD2B	ENSG00000269113	hsa-miR-16-5p	MIMAT0000069	0.994344395399879
125	ARID4B	ENSG00000054267	hsa-miR-486-5p	MIMAT0002177	0.994321067887511
126	SIPA1L2	ENSG00000116991	hsa-miR-16-5p	MIMAT0000069	0.994239795307989
127	P4HA1	ENSG00000122884	hsa-miR-122-5p	MIMAT0000421	0.994187415334875
128	UBN2	ENSG00000157741	hsa-miR-16-5p	MIMAT0000069	0.994106211122919
129	SRPRA	ENSG00000182934	hsa-miR-16-5p	MIMAT0000069	0.993757163129018
130	MGST2	ENSG00000085871	hsa-miR-16-5p	MIMAT0000069	0.993616169681681
131	UBR3	ENSG00000144357	hsa-miR-16-5p	MIMAT0000069	0.993416689572819
132	CLIC5	ENSG00000112782	hsa-miR-122-5p	MIMAT0000421	0.993405425843681
133	POLR2J2	ENSG00000228049	hsa-miR-122-5p	MIMAT0000421	0.993327561723006
134	TNRC6B	ENSG00000100354	hsa-miR-16-5p	MIMAT0000069	0.993279069041768
135	BTAF1	ENSG00000095564	hsa-miR-486-5p	MIMAT0002177	0.993248389265198
136	BTAF1	ENSG00000095564	hsa-miR-16-5p	MIMAT0000069	0.993202199045397
137	GALNT13	ENSG00000144278	hsa-miR-16-5p	MIMAT0000069	0.992829174738385
138	EPHB2	ENSG00000133216	hsa-miR-16-5p	MIMAT0000069	0.992794310902259
139	RIC1	ENSG00000107036	hsa-miR-16-5p	MIMAT0000069	0.992469284417132
140	CDCA4	ENSG00000170779	hsa-miR-16-5p	MIMAT0000069	0.992372785432797
141	ACVR2A	ENSG00000121989	hsa-miR-16-5p	MIMAT0000069	0.992261864619833
142	TBR1	ENSG00000136535	hsa-miR-122-5p	MIMAT0000421	0.992240560047457
143	SOCS6	ENSG00000170677	hsa-miR-16-5p	MIMAT0000069	0.992224083528539
144	AL590132.1	ENSG00000284299	hsa-miR-16-5p	MIMAT0000069	0.992174876733173
145	PTPN3	ENSG00000070159	hsa-miR-16-5p	MIMAT0000069	0.992108531721156
146	SLC25A37	ENSG00000147454	hsa-miR-16-5p	MIMAT0000069	0.991907677988133
147	PLAGL2	ENSG00000126003	hsa-miR-486-5p	MIMAT0002177	0.991827352455331
148	RREB1	ENSG00000124782	hsa-miR-16-5p	MIMAT0000069	0.991750742071475
149	FZD10	ENSG00000111432	hsa-miR-16-5p	MIMAT0000069	0.991626277524316
150	EYA1	ENSG00000104313	hsa-miR-16-5p	MIMAT0000069	0.991561476725376
151	CNOT6L	ENSG00000138767	hsa-miR-16-5p	MIMAT0000069	0.991379542936954
152	TBC1D10B	ENSG00000169221	hsa-miR-122-5p	MIMAT0000421	0.99132103370826
153	ZNF622	ENSG00000173545	hsa-miR-16-5p	MIMAT0000069	0.991117771843606
154	HNRNPU	ENSG00000153187	hsa-miR-122-5p	MIMAT0000421	0.991064349968794
155	FAM110C	ENSG00000184731	hsa-miR-16-5p	MIMAT0000069	0.99101252958232
156	MOB4	ENSG00000115540	hsa-miR-16-5p	MIMAT0000069	0.991006012681682
157	TLE4	ENSG00000106829	hsa-miR-16-5p	MIMAT0000069	0.990956199345881
158	CBX4	ENSG00000141582	hsa-miR-16-5p	MIMAT0000069	0.990955700423823
159	PPM1D	ENSG00000170836	hsa-miR-16-5p	MIMAT0000069	0.990761278298959
160	HELZ	ENSG00000198265	hsa-miR-16-5p	MIMAT0000069	0.990655472270738
161	PTPRB	ENSG00000127329	hsa-miR-486-5p	MIMAT0002177	0.990630942087478
162	KIF5B	ENSG00000170759	hsa-miR-122-5p	MIMAT0000421	0.990307553765944
163	UBQLNL	ENSG00000175518	hsa-miR-16-5p	MIMAT0000069	0.989923355373543
164	RCOR3	ENSG00000117625	hsa-miR-486-5p	MIMAT0002177	0.989898210339375
165	PTEN	ENSG00000171862	hsa-miR-486-5p	MIMAT0002177	0.989869661455937
166	FUBP3	ENSG00000107164	hsa-miR-16-5p	MIMAT0000069	0.989563055484896
167	TMC7	ENSG00000170537	hsa-miR-16-5p	MIMAT0000069	0.989522728089271
168	AQP11	ENSG00000178301	hsa-miR-16-5p	MIMAT0000069	0.989356764160136
169	MCMDC2	ENSG00000178460	hsa-miR-486-5p	MIMAT0002177	0.989322625959839
170	CELF2	ENSG00000048740	hsa-miR-486-5p	MIMAT0002177	0.989244316648621
171	DYNLRB1	ENSG00000125971	hsa-miR-16-5p	MIMAT0000069	0.989033087757424
172	ATXN7L1	ENSG00000146776	hsa-miR-16-5p	MIMAT0000069	0.989009946980499
173	FICD	ENSG00000198855	hsa-miR-16-5p	MIMAT0000069	0.988805941551652
174	FOXO1	ENSG00000150907	hsa-miR-486-5p	MIMAT0002177	0.988655072095899
175	SLC4A4	ENSG00000080493	hsa-miR-16-5p	MIMAT0000069	0.988410412770523
176	ZBTB39	ENSG00000166860	hsa-miR-16-5p	MIMAT0000069	0.988342378526828
177	KIAA0100	ENSG00000007202	hsa-miR-486-5p	MIMAT0002177	0.988320926676629
178	CLDN12	ENSG00000157224	hsa-miR-16-5p	MIMAT0000069	0.98822048844854
179	CHAC1	ENSG00000128965	hsa-miR-16-5p	MIMAT0000069	0.988202896678717
180	TLK1	ENSG00000198586	hsa-miR-16-5p	MIMAT0000069	0.988116926822339
181	NOL4L	ENSG00000197183	hsa-miR-122-5p	MIMAT0000421	0.987859218613289
182	ZNF362	ENSG00000160094	hsa-miR-16-5p	MIMAT0000069	0.987737906941558
183	FAM81A	ENSG00000157470	hsa-miR-16-5p	MIMAT0000069	0.987598233328438
184	ANKUB1	ENSG00000206199	hsa-miR-16-5p	MIMAT0000069	0.987464073116022
185	SGK1	ENSG00000118515	hsa-miR-16-5p	MIMAT0000069	0.987378585553437
186	ZNF331	ENSG00000130844	hsa-miR-486-5p	MIMAT0002177	0.986795906844425
187	REV3L	ENSG00000009413	hsa-miR-16-5p	MIMAT0000069	0.986399435949786
188	PTPRR	ENSG00000153233	hsa-miR-16-5p	MIMAT0000069	0.986249955134673
189	ACVR2B	ENSG00000114739	hsa-miR-16-5p	MIMAT0000069	0.985905523020888
190	C12orf76	ENSG00000174456	hsa-miR-16-5p	MIMAT0000069	0.985902067462094
191	OCLN	ENSG00000197822	hsa-miR-122-5p	MIMAT0000421	0.985644881959176
192	FGF18	ENSG00000156427	hsa-miR-16-5p	MIMAT0000069	0.98558884664688
193	WSCD1	ENSG00000179314	hsa-miR-486-5p	MIMAT0002177	0.985381512648329
194	NBPF3	ENSG00000142794	hsa-miR-486-5p	MIMAT0002177	0.984904933749711
195	CCND2	ENSG00000118971	hsa-miR-16-5p	MIMAT0000069	0.984762100457441
196	LHX4	ENSG00000121454	hsa-miR-16-5p	MIMAT0000069	0.983277187504697
197	GNG13	ENSG00000127588	hsa-miR-122-5p	MIMAT0000421	0.98317977610077
198	DLL4	ENSG00000128917	hsa-miR-486-5p	MIMAT0002177	0.982980526462392
199	SEPTIN2	ENSG00000168385	hsa-miR-16-5p	MIMAT0000069	0.982973892432832
200	BCL2	ENSG00000171791	hsa-miR-16-5p	MIMAT0000069	0.982491926185443
201	RSBN1	ENSG00000081019	hsa-miR-16-5p	MIMAT0000069	0.9824194406189
202	GPX8	ENSG00000164294	hsa-miR-486-5p	MIMAT0002177	0.982120972581019
203	CCDC91	ENSG00000123106	hsa-miR-486-5p	MIMAT0002177	0.981984740394696
204	ISLR	ENSG00000129009	hsa-miR-16-5p	MIMAT0000069	0.98197984687505
205	DYNC1LI2	ENSG00000135720	hsa-miR-16-5p	MIMAT0000069	0.981571859014007
206	FUNDC2	ENSG00000165775	hsa-miR-122-5p	MIMAT0000421	0.981474471659195
207	KANK1	ENSG00000107104	hsa-miR-16-5p	MIMAT0000069	0.981300190309234
208	HECTD4	ENSG00000173064	hsa-miR-16-5p	MIMAT0000069	0.981038500447328
209	RUBCNL	ENSG00000102445	hsa-miR-16-5p	MIMAT0000069	0.980974979169478
210	PCMT1	ENSG00000120265	hsa-miR-16-5p	MIMAT0000069	0.980943849904478
211	CTDSPL2	ENSG00000137770	hsa-miR-486-5p	MIMAT0002177	0.980867457312531
212	RBM6	ENSG00000004534	hsa-miR-16-5p	MIMAT0000069	0.980796343702405
213	GHR	ENSG00000112964	hsa-miR-16-5p	MIMAT0000069	0.980498056126225
214	TXLNG	ENSG00000086712	hsa-miR-486-5p	MIMAT0002177	0.980303852133108
215	JARID2	ENSG00000008083	hsa-miR-16-5p	MIMAT0000069	0.980289633663552
216	POU2F1	ENSG00000143190	hsa-miR-16-5p	MIMAT0000069	0.980043446176479
217	PIK3R1	ENSG00000145675	hsa-miR-16-5p	MIMAT0000069	0.980019272512018
218	PNPLA6	ENSG00000032444	hsa-miR-16-5p	MIMAT0000069	0.979714903525317
219	FAM91A1	ENSG00000176853	hsa-miR-16-5p	MIMAT0000069	0.979580194726478
220	VPS33B	ENSG00000184056	hsa-miR-16-5p	MIMAT0000069	0.979240145668028
221	SCN8A	ENSG00000196876	hsa-miR-16-5p	MIMAT0000069	0.978819832714289
222	AC005258.1	ENSG00000273734	hsa-miR-16-5p	MIMAT0000069	0.97876394738079
223	CBX2	ENSG00000173894	hsa-miR-16-5p	MIMAT0000069	0.978427171559508
224	STAMBP	ENSG00000124356	hsa-miR-122-5p	MIMAT0000421	0.978283466882008
225	SLC10A7	ENSG00000120519	hsa-miR-486-5p	MIMAT0002177	0.978278429725797
226	UBE2Q1	ENSG00000160714	hsa-miR-16-5p	MIMAT0000069	0.978171451556832
227	ELOVL6	ENSG00000170522	hsa-miR-16-5p	MIMAT0000069	0.978069437036729
228	GCNT4	ENSG00000176928	hsa-miR-16-5p	MIMAT0000069	0.97800908999413
229	LMNB2	ENSG00000176619	hsa-miR-122-5p	MIMAT0000421	0.977959836703428
230	UNC80	ENSG00000144406	hsa-miR-16-5p	MIMAT0000069	0.977876502567036
231	USH2A	ENSG00000042781	hsa-miR-486-5p	MIMAT0002177	0.977494687143417
232	CAPZA2	ENSG00000198898	hsa-miR-16-5p	MIMAT0000069	0.977453058881526
233	MAFK	ENSG00000198517	hsa-miR-16-5p	MIMAT0000069	0.977344992965919
234	DMPK	ENSG00000104936	hsa-miR-16-5p	MIMAT0000069	0.977185319162214
235	BEST1	ENSG00000167995	hsa-miR-122-5p	MIMAT0000421	0.977080050013817
236	TRANK1	ENSG00000168016	hsa-miR-16-5p	MIMAT0000069	0.97680532740233
237	KCNN3	ENSG00000143603	hsa-miR-122-5p	MIMAT0000421	0.976747321265376
238	FGF4	ENSG00000075388	hsa-miR-16-5p	MIMAT0000069	0.976578619435003
239	BRPF1	ENSG00000156983	hsa-miR-122-5p	MIMAT0000421	0.976447778621528
240	CREBRF	ENSG00000164463	hsa-miR-16-5p	MIMAT0000069	0.976089889919022
241	SMAD2	ENSG00000175387	hsa-miR-486-5p	MIMAT0002177	0.975835139031436
242	LRR1	ENSG00000165501	hsa-miR-122-5p	MIMAT0000421	0.975617763842913
243	CCDC38	ENSG00000165972	hsa-miR-486-5p	MIMAT0002177	0.975578724180088
244	MNT	ENSG00000070444	hsa-miR-16-5p	MIMAT0000069	0.975466144945713
245	SLC4A8	ENSG00000050438	hsa-miR-122-5p	MIMAT0000421	0.975318643590297
246	GYS1	ENSG00000104812	hsa-miR-122-5p	MIMAT0000421	0.975200818518114
247	WNT4	ENSG00000162552	hsa-miR-16-5p	MIMAT0000069	0.974676217995632
248	RBM23	ENSG00000100461	hsa-miR-16-5p	MIMAT0000069	0.974578040252408
249	OSCP1	ENSG00000116885	hsa-miR-16-5p	MIMAT0000069	0.974130890423512
250	NPEPPS	ENSG00000141279	hsa-miR-122-5p	MIMAT0000421	0.97411578209095
251	PPP1R11	ENSG00000204619	hsa-miR-16-5p	MIMAT0000069	0.973738534554782
252	NT5DC1	ENSG00000178425	hsa-miR-16-5p	MIMAT0000069	0.973518422047336
253	GAPVD1	ENSG00000165219	hsa-miR-486-5p	MIMAT0002177	0.973032081176118
254	ST8SIA3	ENSG00000177511	hsa-miR-16-5p	MIMAT0000069	0.972570193866035
255	TMEM183A	ENSG00000163444	hsa-miR-16-5p	MIMAT0000069	0.972493189785312
256	IPO4	ENSG00000196497	hsa-miR-16-5p	MIMAT0000069	0.972437281284075
257	PISD	ENSG00000241878	hsa-miR-16-5p	MIMAT0000069	0.972297528856742
258	RUNDC3B	ENSG00000105784	hsa-miR-16-5p	MIMAT0000069	0.97225556569159
259	RNF111	ENSG00000157450	hsa-miR-16-5p	MIMAT0000069	0.972162989171827
260	SYT16	ENSG00000139973	hsa-miR-16-5p	MIMAT0000069	0.971994128032812
261	ESCO1	ENSG00000141446	hsa-miR-16-5p	MIMAT0000069	0.971937182436813
262	RNF138	ENSG00000134758	hsa-miR-16-5p	MIMAT0000069	0.97178210601526
263	NAPG	ENSG00000134265	hsa-miR-16-5p	MIMAT0000069	0.971744292259612
264	CIT	ENSG00000122966	hsa-miR-486-5p	MIMAT0002177	0.971674835399275
265	RETREG2	ENSG00000144567	hsa-miR-16-5p	MIMAT0000069	0.971610236578392
266	TMCC1	ENSG00000172765	hsa-miR-16-5p	MIMAT0000069	0.971542619167686
267	YRDC	ENSG00000196449	hsa-miR-16-5p	MIMAT0000069	0.971393749924821
268	OLFM4	ENSG00000102837	hsa-miR-486-5p	MIMAT0002177	0.971379998619113
269	E2F7	ENSG00000165891	hsa-miR-16-5p	MIMAT0000069	0.971099251040997
270	SOX6	ENSG00000110693	hsa-miR-122-5p	MIMAT0000421	0.971046746055789
271	EPB41L1	ENSG00000088367	hsa-miR-486-5p	MIMAT0002177	0.970978510528906
272	DCBLD2	ENSG00000057019	hsa-miR-486-5p	MIMAT0002177	0.970702248907731
273	SOBP	ENSG00000112320	hsa-miR-16-5p	MIMAT0000069	0.970639435394263
274	DNAJB4	ENSG00000162616	hsa-miR-16-5p	MIMAT0000069	0.970366311222147
275	MYT1L	ENSG00000186487	hsa-miR-16-5p	MIMAT0000069	0.970210432454033
276	ZNRF2	ENSG00000180233	hsa-miR-16-5p	MIMAT0000069	0.970176224527317
277	ZBTB44	ENSG00000196323	hsa-miR-16-5p	MIMAT0000069	0.969908953122275
278	GALNTL6	ENSG00000174473	hsa-miR-122-5p	MIMAT0000421	0.969277411871433
279	AKR1C8P	ENSG00000264006	hsa-miR-16-5p	MIMAT0000069	0.969203333123152
280	TENM2	ENSG00000145934	hsa-miR-486-5p	MIMAT0002177	0.968740109788487
281	NFATC3	ENSG00000072736	hsa-miR-16-5p	MIMAT0000069	0.968628443744623
282	RAP1B	ENSG00000127314	hsa-miR-486-5p	MIMAT0002177	0.968359618213317
283	AC011330.3	ENSG00000284772	hsa-miR-16-5p	MIMAT0000069	0.968085412890068
284	IQANK1	ENSG00000203499	hsa-miR-16-5p	MIMAT0000069	0.967944886363412
285	CSPG5	ENSG00000114646	hsa-miR-486-5p	MIMAT0002177	0.967909229785187
286	USP8	ENSG00000138592	hsa-miR-122-5p	MIMAT0000421	0.967897987475741
287	VIL1	ENSG00000127831	hsa-miR-122-5p	MIMAT0000421	0.967714447668707
288	XRCC5	ENSG00000079246	hsa-miR-16-5p	MIMAT0000069	0.9675979450745
289	PHF19	ENSG00000119403	hsa-miR-16-5p	MIMAT0000069	0.967469881037289
290	RPS6KA6	ENSG00000072133	hsa-miR-16-5p	MIMAT0000069	0.967148324980249
291	TGIF2	ENSG00000118707	hsa-miR-16-5p	MIMAT0000069	0.96665294816286
292	ANO3	ENSG00000134343	hsa-miR-16-5p	MIMAT0000069	0.96615962931021
293	PGRMC1	ENSG00000101856	hsa-miR-486-5p	MIMAT0002177	0.965758226098412
294	CD8B2	ENSG00000254126	hsa-miR-486-5p	MIMAT0002177	0.965519492568811
295	AGO3	ENSG00000126070	hsa-miR-16-5p	MIMAT0000069	0.965378630741942
296	AL139353.1	ENSG00000203546	hsa-miR-16-5p	MIMAT0000069	0.965318354748108
297	PHKA1	ENSG00000067177	hsa-miR-16-5p	MIMAT0000069	0.965088768364986
298	SYT3	ENSG00000213023	hsa-miR-16-5p	MIMAT0000069	0.965063312432707
299	NOL4L	ENSG00000197183	hsa-miR-16-5p	MIMAT0000069	0.964881224277002
300	EPB41L4B	ENSG00000095203	hsa-miR-16-5p	MIMAT0000069	0.96456800336013
301	MASP1	ENSG00000127241	hsa-miR-16-5p	MIMAT0000069	0.964492702653782
302	CD8B	ENSG00000172116	hsa-miR-486-5p	MIMAT0002177	0.964318605185717
