miRNA,Target / Target pathway,Support,Source,Experiment(s),Reference - PMID,,
hsa-miR-122-5p,GALNT3,Functional MTI (Weak),MIRT537237,PAR-CLIP,22012620,,
hsa-miR-122-5p,ABCF1,Functional MTI (Weak),MIRT539523,PAR-CLIP,22012620,,
hsa-miR-122-5p,ABCF1,Functional MTI (Weak),MIRT539523,HITS-CLIP,21572407,,
hsa-miR-122-5p,PKNOX1,Functional MTI (Weak),MIRT570046,PAR-CLIP,20371350,,
hsa-miR-122-5p,HM13,Functional MTI (Weak),MIRT571143,PAR-CLIP,20371350,,
hsa-miR-122-5p,ABL2,Functional MTI (Weak),MIRT607522,HITS-CLIP,24906430,,
hsa-miR-122-5p,PHLDA3,Functional MTI (Weak),MIRT607842,HITS-CLIP,24906430,,
hsa-miR-122-5p,CCS,Functional MTI (Weak),MIRT617444,HITS-CLIP,23824327,,
hsa-miR-122-5p,RABL3,Functional MTI (Weak),MIRT612620,HITS-CLIP,23824327,,
hsa-miR-122-5p,YME1L1,Functional MTI (Weak),MIRT620091,HITS-CLIP,23824327,,
hsa-miR-122-5p,TIAL1,Functional MTI (Weak),MIRT619247,HITS-CLIP,23824327,,
hsa-miR-122-5p,METTL27,Functional MTI (Weak),MIRT620570,HITS-CLIP,23824327,,
hsa-miR-122-5p,METTL27,Functional MTI (Weak),MIRT620570,HITS-CLIP,19536157,,
hsa-miR-122-5p,ORAI2,Functional MTI (Weak),MIRT622977,HITS-CLIP,23824327,,
hsa-miR-122-5p,ORAI2,Functional MTI (Weak),MIRT622977,PAR-CLIP,27292025,,
hsa-miR-122-5p,NAA50,Functional MTI (Weak),MIRT623169,HITS-CLIP,23824327,,
hsa-miR-122-5p,HS3ST1,Functional MTI (Weak),MIRT627140,HITS-CLIP,23824327,,
hsa-miR-122-5p,MKLN1,Functional MTI (Weak),MIRT626093,HITS-CLIP,23824327,,
hsa-miR-122-5p,CHDH,Functional MTI (Weak),MIRT626431,HITS-CLIP,23824327,,
hsa-miR-122-5p,THAP2,Functional MTI (Weak),MIRT627420,HITS-CLIP,23824327,,
hsa-miR-122-5p,CYB5D1,Functional MTI (Weak),MIRT628276,HITS-CLIP,23824327,,
hsa-miR-122-5p,UNC13A,Functional MTI (Weak),MIRT629286,HITS-CLIP,23824327,,
hsa-miR-122-5p,CINP,Functional MTI (Weak),MIRT629236,HITS-CLIP,23824327,,
hsa-miR-122-5p,NARS,Functional MTI (Weak),MIRT629984,HITS-CLIP,23824327,,
hsa-miR-122-5p,ZBTB8A,Functional MTI (Weak),MIRT630155,HITS-CLIP,23824327,,
hsa-miR-122-5p,ZBTB8A,Functional MTI (Weak),MIRT630155,HITS-CLIP,27418678,,
hsa-miR-122-5p,PSMB5,Functional MTI (Weak),MIRT630278,HITS-CLIP,23824327,,
hsa-miR-122-5p,PDP2,Functional MTI (Weak),MIRT632596,HITS-CLIP,23824327,,
hsa-miR-122-5p,PGBD5,Functional MTI (Weak),MIRT633536,HITS-CLIP,23824327,,
hsa-miR-122-5p,SLC1A5,Functional MTI (Weak),MIRT633286,HITS-CLIP,23824327,,
hsa-miR-122-5p,FMN1,Functional MTI (Weak),MIRT636516,HITS-CLIP,23824327,,
hsa-miR-122-5p,BMS1,Functional MTI (Weak),MIRT635322,HITS-CLIP,23824327,,
hsa-miR-122-5p,LRCH3,Functional MTI (Weak),MIRT636450,HITS-CLIP,23824327,,
hsa-miR-122-5p,BAMBI,Functional MTI (Weak),MIRT637134,HITS-CLIP,23824327,,
hsa-miR-122-5p,IBA57,Functional MTI (Weak),MIRT637287,HITS-CLIP,23824327,,
hsa-miR-122-5p,PLXDC2,Functional MTI (Weak),MIRT638449,HITS-CLIP,23824327,,
hsa-miR-122-5p,PLXDC2,Functional MTI (Weak),MIRT638449,PAR-CLIP,27292025,,
hsa-miR-122-5p,ENTPD1,Functional MTI (Weak),MIRT640871,HITS-CLIP,23824327,,
hsa-miR-122-5p,SLC35E2B,Functional MTI (Weak),MIRT645092,HITS-CLIP,23824327,,
hsa-miR-122-5p,FAM217B,Functional MTI (Weak),MIRT646508,HITS-CLIP,23824327,,
hsa-miR-122-5p,ADCY2,Functional MTI (Weak),MIRT647013,HITS-CLIP,23824327,,
hsa-miR-122-5p,FADS6,Functional MTI (Weak),MIRT648040,HITS-CLIP,23824327,,
hsa-miR-122-5p,TEP1,Functional MTI (Weak),MIRT649660,HITS-CLIP,23824327,,
hsa-miR-122-5p,PXMP4,Functional MTI (Weak),MIRT654577,HITS-CLIP,23824327,,
hsa-miR-122-5p,XIAP,Functional MTI (Weak),MIRT651465,HITS-CLIP,23824327,,
hsa-miR-122-5p,SLC25A33,Functional MTI (Weak),MIRT653691,HITS-CLIP,23824327,,
hsa-miR-122-5p,MAP4K2,Functional MTI (Weak),MIRT656470,HITS-CLIP,23824327,,
hsa-miR-122-5p,DPY19L4,Functional MTI (Weak),MIRT658905,HITS-CLIP,23824327,,
hsa-miR-122-5p,IYD,Functional MTI (Weak),MIRT663496,HITS-CLIP,23824327,,
hsa-miR-122-5p,CCR6,Functional MTI (Weak),MIRT663542,HITS-CLIP,23824327,,
hsa-miR-122-5p,MRI1,Functional MTI (Weak),MIRT663903,HITS-CLIP,23824327,,
hsa-miR-122-5p,ESF1,Functional MTI (Weak),MIRT665199,HITS-CLIP,23824327,,
hsa-miR-122-5p,ZYG11B,Functional MTI (Weak),MIRT664468,HITS-CLIP,23824327,,
hsa-miR-122-5p,ZYG11B,Functional MTI (Weak),MIRT664468,PAR-CLIP,27292025,,
hsa-miR-122-5p,PTCD3,Functional MTI (Weak),MIRT664957,HITS-CLIP,23824327,,
hsa-miR-122-5p,TDRD1,Functional MTI (Weak),MIRT664970,HITS-CLIP,23824327,,
hsa-miR-122-5p,XKR4,Functional MTI (Weak),MIRT665359,HITS-CLIP,23824327,,
hsa-miR-122-5p,VPS53,Functional MTI (Weak),MIRT665486,HITS-CLIP,23824327,,
hsa-miR-122-5p,SBNO1,Functional MTI (Weak),MIRT666486,HITS-CLIP,23824327,,
hsa-miR-122-5p,RBM23,Functional MTI (Weak),MIRT666696,HITS-CLIP,23824327,,
hsa-miR-122-5p,RBL1,Functional MTI (Weak),MIRT666712,HITS-CLIP,23824327,,
hsa-miR-122-5p,RAB10,Functional MTI (Weak),MIRT666762,HITS-CLIP,23824327,,
hsa-miR-122-5p,MAPK1,Functional MTI (Weak),MIRT667474,HITS-CLIP,23824327,,
hsa-miR-122-5p,NFE2L1,Functional MTI (Weak),MIRT667226,HITS-CLIP,23824327,,
hsa-miR-122-5p,NFE2L1,Functional MTI (Weak),MIRT667226,PAR-CLIP,26701625,,
hsa-miR-122-5p,GK5,Functional MTI (Weak),MIRT668119,HITS-CLIP,23824327,,
hsa-miR-122-5p,ESYT2,Functional MTI (Weak),MIRT668509,HITS-CLIP,23824327,,
hsa-miR-122-5p,NCBP3,Functional MTI (Weak),MIRT669291,HITS-CLIP,23824327,,
hsa-miR-122-5p,CNDP1,Functional MTI (Weak),MIRT669778,HITS-CLIP,23824327,,
hsa-miR-122-5p,TECPR1,Functional MTI (Weak),MIRT670017,HITS-CLIP,23824327,,
hsa-miR-122-5p,SMG1,Functional MTI (Weak),MIRT671351,HITS-CLIP,23824327,,
hsa-miR-122-5p,SLC38A9,Functional MTI (Weak),MIRT671492,HITS-CLIP,23824327,,
hsa-miR-122-5p,F2,Functional MTI (Weak),MIRT672196,HITS-CLIP,23824327,,
hsa-miR-122-5p,LIMS1,Functional MTI (Weak),MIRT671554,HITS-CLIP,23824327,,
hsa-miR-122-5p,DCAF7,Functional MTI (Weak),MIRT672217,HITS-CLIP,23824327,,
hsa-miR-122-5p,SIK2,Functional MTI (Weak),MIRT672252,HITS-CLIP,23824327,,
hsa-miR-122-5p,POLR2D,Functional MTI (Weak),MIRT672430,HITS-CLIP,23824327,,
hsa-miR-122-5p,KIF1C,Functional MTI (Weak),MIRT673586,HITS-CLIP,23824327,,
hsa-miR-122-5p,KCMF1,Functional MTI (Weak),MIRT674338,HITS-CLIP,23824327,,
hsa-miR-122-5p,SNTB2,Functional MTI (Weak),MIRT675100,HITS-CLIP,23824327,,
hsa-miR-122-5p,WWC1,Functional MTI (Weak),MIRT675577,HITS-CLIP,23824327,,
hsa-miR-122-5p,TMEM250,Functional MTI (Weak),MIRT676025,HITS-CLIP,23824327,,
hsa-miR-122-5p,VSIG1,Functional MTI (Weak),MIRT676560,HITS-CLIP,23824327,,
hsa-miR-122-5p,TMEM168,Functional MTI (Weak),MIRT678576,HITS-CLIP,23824327,,
hsa-miR-122-5p,ZNF281,Functional MTI (Weak),MIRT680344,HITS-CLIP,23824327,,
hsa-miR-122-5p,ZNF281,Functional MTI (Weak),MIRT680344,HITS-CLIP,27418678,,
hsa-miR-122-5p,NASP,Functional MTI (Weak),MIRT687526,HITS-CLIP,23313552,,
hsa-miR-122-5p,BCL2L15,Functional MTI (Weak),MIRT691760,HITS-CLIP,23313552,,
hsa-miR-122-5p,PTPDC1,Functional MTI (Weak),MIRT700536,HITS-CLIP,23313552,,
hsa-miR-122-5p,MRPS25,Functional MTI (Weak),MIRT701807,HITS-CLIP,23313552,,
hsa-miR-122-5p,RNF216,Functional MTI (Weak),MIRT706659,HITS-CLIP,21572407,,
hsa-miR-122-5p,ANKRD36,Functional MTI (Weak),MIRT706777,HITS-CLIP,21572407,,
hsa-miR-122-5p,THAP6,Functional MTI (Weak),MIRT706916,HITS-CLIP,21572407,,
hsa-miR-122-5p,RRP36,Functional MTI (Weak),MIRT707015,HITS-CLIP,21572407,,
hsa-miR-122-5p,LPIN1,Functional MTI,MIRT732617,"Luciferase reporter assay, qRT-PCR, Western blot",28287811,,
hsa-miR-122-5p,PEG10,Functional MTI,MIRT733884,Luciferase reporter assay,27370270,,
hsa-miR-122-5p,PDK4,Functional MTI,MIRT735022,"Luciferase reporter assay, qRT-PCR, Western blot",26506419,,
hsa-miR-122-5p,EGFR,Functional MTI,MIRT735379,"Luciferase reporter assay, qRT-PCR, Western blot",28641303,,
hsa-miR-122-5p,SPRY2,Functional MTI,MIRT733104,"Luciferase reporter assay, Microarray, qRT-PCR, Western blot",27943426,,
hsa-miR-122-5p,ARL2,Functional MTI (Weak),MIRT736105,PAR-CLIP,26701625,,
hsa-miR-122-5p,IST1,Functional MTI (Weak),MIRT736108,PAR-CLIP,26701625,,
hsa-miR-122-5p,KIAA0100,Functional MTI (Weak),MIRT736110,PAR-CLIP,26701625,,
hsa-miR-122-5p,MLF2,Functional MTI (Weak),MIRT736112,PAR-CLIP,26701625,,
hsa-miR-122-5p,MLF2,Functional MTI (Weak),MIRT736112,PAR-CLIP,27292025,,
hsa-miR-122-5p,NIPA2,Functional MTI (Weak),MIRT736114,PAR-CLIP,26701625,,
hsa-miR-122-5p,AGO3,Functional MTI (Weak),MIRT761308,PAR-CLIP,27292025,,
hsa-miR-122-5p,AK3,Functional MTI (Weak),MIRT761309,PAR-CLIP,27292025,,
hsa-miR-122-5p,DOCK11,Functional MTI (Weak),MIRT761319,PAR-CLIP,27292025,,
hsa-miR-122-5p,EEF2K,Functional MTI (Weak),MIRT761321,PAR-CLIP,27292025,,
hsa-miR-122-5p,GPR161,Functional MTI (Weak),MIRT761327,PAR-CLIP,27292025,,
hsa-miR-122-5p,GPSM2,Functional MTI (Weak),MIRT761329,PAR-CLIP,27292025,,
hsa-miR-122-5p,HEATR5A,Functional MTI (Weak),MIRT761331,PAR-CLIP,27292025,,
hsa-miR-122-5p,MLXIP,Functional MTI (Weak),MIRT761339,PAR-CLIP,27292025,,
hsa-miR-122-5p,MRPS23,Functional MTI (Weak),MIRT761343,PAR-CLIP,27292025,,
hsa-miR-122-5p,NUDT3,Functional MTI (Weak),MIRT761346,PAR-CLIP,27292025,,
hsa-miR-122-5p,PRPF38A,Functional MTI (Weak),MIRT761349,PAR-CLIP,27292025,,
hsa-miR-122-5p,RACGAP1,Functional MTI (Weak),MIRT761351,PAR-CLIP,27292025,,
hsa-miR-122-5p,SLC10A3,Functional MTI (Weak),MIRT761354,PAR-CLIP,27292025,,
hsa-miR-122-5p,VDR,Functional MTI (Weak),MIRT761360,PAR-CLIP,27292025,,
hsa-miR-122-5p,ZNF106,Functional MTI (Weak),MIRT761362,PAR-CLIP,27292025,,
hsa-miR-122-5p,GFPT1,Functional MTI (Weak),MIRT783149,HITS-CLIP,27418678,,
hsa-miR-122-5p,ISPD,Functional MTI (Weak),MIRT783151,HITS-CLIP,27418678,,
hsa-miR-122-5p,LUC7L,Functional MTI (Weak),MIRT783153,HITS-CLIP,27418678,,
hsa-miR-122-5p,MAGT1,Functional MTI (Weak),MIRT783154,HITS-CLIP,27418678,,
hsa-miR-122-5p,TTLL12,Functional MTI (Weak),MIRT783160,HITS-CLIP,27418678,,
hsa-miR-122-5p,ZC3H15,Functional MTI (Weak),MIRT783162,HITS-CLIP,27418678,,
hsa-miR-122-5p,IGF1R,Functional MTI,MIRT000364,Reporter assay;qRT-PCR,20884628,,
hsa-miR-122-5p,SRF,Functional MTI,MIRT000365,"Luciferase reporter assay, qRT-PCR, Western blot",19726678,,
hsa-miR-122-5p,IGF1R,Functional MTI,MIRT000364,"Luciferase reporter assay, qRT-PCR, Western blot",19726678,,
hsa-miR-122-5p,IGF1R,Functional MTI,MIRT000364,"Luciferase reporter assay, qRT-PCR, Western blot",23056576,,
hsa-miR-122-5p,RHOA,Functional MTI,MIRT000717,Luciferase reporter assay,19617899,,
hsa-miR-122-5p,RHOA,Functional MTI,MIRT000717,"Luciferase reporter assay,",19935707,,
hsa-miR-122-5p,ANK2,Functional MTI,MIRT003081,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,ENTPD4,Functional MTI,MIRT003083,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,ANXA11,Functional MTI,MIRT003084,"Luciferase reporter assay, qRT-PCR, Microarray",19296470,,
hsa-miR-122-5p,RAB6B,Functional MTI,MIRT003086,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,RAB11FIP1,Functional MTI,MIRT003087,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,RAB11FIP1,Functional MTI (Weak),MIRT003087,HITS-CLIP,23824327,,
hsa-miR-122-5p,FOXP1,Functional MTI,MIRT003088,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,MECP2,Functional MTI,MIRT003089,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,NCAM1,Functional MTI,MIRT003090,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,NCAM1,Functional MTI (Weak),MIRT003090,Microarray,17179747,,
hsa-miR-122-5p,NCAM1,Functional MTI (Weak),MIRT003090,Microarray,17612493,,
hsa-miR-122-5p,AKT3,Functional MTI,MIRT003099,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,AKT3,Functional MTI,MIRT003099,"Immunoblot, Luciferase reporter assay, qRT-PCR",24244539,,
hsa-miR-122-5p,SLC7A1,Functional MTI,MIRT003105,"Luciferase reporter assay, Western blot, Reporter assay;Other",17179747,,
hsa-miR-122-5p,SLC7A1,Functional MTI,MIRT003105,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,SLC7A1,Functional MTI (Weak),MIRT003105,Northern blot,18073344,,
hsa-miR-122-5p,SLC7A1,Functional MTI,MIRT003105,Luciferase reporter assay,16777601,,
hsa-miR-122-5p,XPO6,Functional MTI,MIRT003106,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,FOXJ3,Functional MTI,MIRT003107,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,EGLN3,Functional MTI,MIRT003110,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,FAM117B,Functional MTI,MIRT003728,"Luciferase reporter assay, qRT-PCR",19296470,,
hsa-miR-122-5p,BCL2L2,Functional MTI,MIRT004364,"Luciferase reporter assay, qRT-PCR, Western blot, Reporter assay;Western blot;Other",18692484,,
hsa-miR-122-5p,BCL2L2,Functional MTI (Weak),MIRT004364,qRT-PCR,24121065,,
hsa-miR-122-5p,BCL2L2,Functional MTI,MIRT004364,"Immunohistochemistry, Luciferase reporter assay, Microarray, qRT-PCR, Western blot",27415790,,
hsa-miR-122-5p,ADAM10,Functional MTI,MIRT004879,"Luciferase reporter assay, qRT-PCR, Western blot",19726678,,
hsa-miR-122-5p,ADAM10,Functional MTI,MIRT004879,"Immunohistochemistry, Luciferase reporter assay, qRT-PCR",25318895,,
hsa-miR-122-5p,PRKRA,Functional MTI,MIRT006123,"Luciferase reporter assay, Microarray, qRT-PCR, Western blot",21937511,,
hsa-miR-122-5p,NT5C3A,Functional MTI,MIRT007081,Luciferase reporter assay,23055569,,
hsa-miR-122-5p,PTPN1,Functional MTI,MIRT007007,Luciferase reporter assay,22807119,,
hsa-miR-122-5p,SLC19A2,Functional MTI (Weak),MIRT023284,Microarray,17612493,,
hsa-miR-122-5p,RAI14,Functional MTI (Weak),MIRT023221,Microarray,20633528,,
hsa-miR-122-5p,STARD13,Functional MTI (Weak),MIRT023222,Microarray,17612493,,
hsa-miR-122-5p,CNN3,Functional MTI (Weak),MIRT023223,Proteomics,21750653,,
hsa-miR-122-5p,A2M,Functional MTI (Weak),MIRT023224,Microarray,17612493,,
hsa-miR-122-5p,CALR,Functional MTI (Weak),MIRT023227,Proteomics,21750653,,
hsa-miR-122-5p,POFUT1,Functional MTI (Weak),MIRT023228,Microarray,17612493,,
hsa-miR-122-5p,CDC42EP3,Functional MTI (Weak),MIRT023231,Microarray,17612493,,
hsa-miR-122-5p,CS,Functional MTI (Weak),MIRT023232,PAR-CLIP,23592263,,
hsa-miR-122-5p,RNF170,Functional MTI (Weak),MIRT023233,Microarray,17612493,,
hsa-miR-122-5p,RNF170,Functional MTI (Weak),MIRT023233,HITS-CLIP,23824327,,
hsa-miR-122-5p,ATP13A3,Functional MTI (Weak),MIRT023239,Microarray,17612493,,
hsa-miR-122-5p,CPNE5,Functional MTI (Weak),MIRT023240,Microarray,17612493,,
hsa-miR-122-5p,KATNAL1,Functional MTI (Weak),MIRT023241,Microarray,17612493,,
hsa-miR-122-5p,TBL1XR1,Functional MTI (Weak),MIRT023246,Microarray,17612493,,
hsa-miR-122-5p,AKAP11,Functional MTI (Weak),MIRT023248,Microarray,17612493,,
hsa-miR-122-5p,POMGNT2,Functional MTI (Weak),MIRT023252,Microarray,17612493,,
hsa-miR-122-5p,SLC44A1,Functional MTI (Weak),MIRT023254,Microarray,17612493,,
hsa-miR-122-5p,CLSPN,Functional MTI (Weak),MIRT023255,Microarray,17612493,,
hsa-miR-122-5p,NCDN,Functional MTI (Weak),MIRT023258,Microarray,17612493,,
hsa-miR-122-5p,ZBTB4,Functional MTI (Weak),MIRT023262,Microarray,17612493,,
hsa-miR-122-5p,LUZP1,Functional MTI (Weak),MIRT023263,Microarray,17612493,,
hsa-miR-122-5p,PRR11,Functional MTI (Weak),MIRT023265,Microarray,17612493,,
hsa-miR-122-5p,HHAT,Functional MTI (Weak),MIRT023266,Microarray,17612493,,
hsa-miR-122-5p,DENND2C,Functional MTI (Weak),MIRT023271,Microarray,17612493,,
hsa-miR-122-5p,HMOX1,Functional MTI,MIRT023272,Western blot;qRT-PCR,20633528,,
hsa-miR-122-5p,HMOX1,Functional MTI (Weak),MIRT023272,Microarray,17612493,,
hsa-miR-122-5p,ANKRD9,Functional MTI (Weak),MIRT023278,HITS-CLIP,23824327,,
hsa-miR-122-5p,B4GALT1,Functional MTI (Weak),MIRT023282,Microarray,17612493,,
hsa-miR-122-5p,DYNC1H1,Functional MTI (Weak),MIRT023355,Microarray,17612493,,
hsa-miR-122-5p,GNL3L,Functional MTI (Weak),MIRT023356,Microarray,17612493,,
hsa-miR-122-5p,EYA4,Functional MTI (Weak),MIRT023358,Microarray,17612493,,
hsa-miR-122-5p,EP400,Functional MTI (Weak),MIRT023367,Microarray,17612493,,
hsa-miR-122-5p,TRAM2,Functional MTI (Weak),MIRT023369,Microarray,17612493,,
hsa-miR-122-5p,ZCCHC2,Functional MTI (Weak),MIRT023376,Microarray,17612493,,
hsa-miR-122-5p,DCTN5,Functional MTI (Weak),MIRT023378,Microarray,17612493,,
hsa-miR-122-5p,CHST3,Functional MTI (Weak),MIRT023379,Microarray,17612493,,
hsa-miR-122-5p,HECW2,Functional MTI (Weak),MIRT023380,Microarray,17612493,,
