"miRNA","Target / Target pathway","Support","Source","Experiment(s)","Reference - PMID"
"hsa-let-7a-5p","SLC20A1","Functional MTI (Weak)","MIRT004960","qRT-PCR","17942906"
"hsa-let-7a-5p","SLC20A1","Functional MTI (Weak)","MIRT004960","PAR-CLIP","23592263"
"hsa-let-7a-5p","SLC20A1","Functional MTI (Weak)","MIRT004960","PAR-CLIP","20371350"
"hsa-let-7a-5p","NEFM","Functional MTI (Weak)","MIRT004961","qRT-PCR","17942906"
"hsa-let-7a-5p","MEIS1","Functional MTI (Weak)","MIRT004962","qRT-PCR","17942906"
"hsa-let-7a-5p","EGR3","Functional MTI (Weak)","MIRT004963","qRT-PCR","17942906"
"hsa-let-7a-5p","HNRNPDL","Functional MTI (Weak)","MIRT004964","qRT-PCR","17942906"
"hsa-let-7a-5p","AMMECR1","Functional MTI (Weak)","MIRT004965","qRT-PCR","17942906"
"hsa-let-7a-5p","IL6","Functional MTI","MIRT005420","Luciferase reporter assay, qRT-PCR, Western blot","19878981"
"hsa-let-7a-5p","CASP3","Functional MTI","MIRT005292","Luciferase reporter assay, Western blot","18758960"
"hsa-let-7a-5p","E2F2","Functional MTI","MIRT005477","Luciferase reporter assay, qRT-PCR, Western blot","20418948"
"hsa-let-7a-5p","CCND2","Functional MTI","MIRT005478","Luciferase reporter assay, qRT-PCR, Western blot","20418948"
"hsa-let-7a-5p","CCND2","Functional MTI","MIRT005478","qRT-PCR, Western blot","26393798"
"hsa-let-7a-5p","IGF2BP1","Functional MTI","MIRT006055","Immunoblot, qRT-PCR, Western blot","21252116"
"hsa-let-7a-5p","IGF2BP1","Functional MTI (Weak)","MIRT006055","PAR-CLIP","21572407"
"hsa-let-7a-5p","CDC34","Functional MTI","MIRT006056","Immunoblot, qRT-PCR, Western blot","21252116"
"hsa-let-7a-5p","EWSR1","Functional MTI","MIRT006152","Luciferase reporter assay, Microarray, qRT-PCR, Western blot","21853155"
"hsa-let-7a-5p","CCR7","Functional MTI","MIRT006813","Luciferase reporter assay, Northern blot, qRT-PCR, Western blot","22251626"
"hsa-let-7a-5p","CDKN1A","Functional MTI","MIRT032506","Western blot","19818775"
"hsa-let-7a-5p","CDKN1A","Functional MTI (Weak)","MIRT032506","PAR-CLIP","21572407"
"hsa-let-7a-5p","HAS2","Functional MTI","MIRT035534","Luciferase reporter assay","22871741"
"hsa-let-7a-5p","EGFR","Functional MTI","MIRT035541","Luciferase reporter assay","23032975"
"hsa-let-7a-5p","CDC7","Functional MTI (Weak)","MIRT052381","CLASH","23622248"
"hsa-let-7a-5p","SMARCAD1","Functional MTI (Weak)","MIRT052382","CLASH","23622248"
"hsa-let-7a-5p","SMARCAD1","Functional MTI (Weak)","MIRT052382","PAR-CLIP","24398324"
"hsa-let-7a-5p","SMARCAD1","Functional MTI (Weak)","MIRT052382","PAR-CLIP","20371350"
"hsa-let-7a-5p","COX2","Functional MTI (Weak)","MIRT052383","CLASH","23622248"
"hsa-let-7a-5p","BCAT1","Functional MTI (Weak)","MIRT052384","CLASH","23622248"
"hsa-let-7a-5p","RRM2","Functional MTI (Weak)","MIRT052385","CLASH","23622248"
"hsa-let-7a-5p","RRM2","Functional MTI (Weak)","MIRT052385","PAR-CLIP","21572407"
"hsa-let-7a-5p","RRM2","Functional MTI","MIRT052385","qRT-PCR, Luciferase reporter assay, Western blot","23335963"
"hsa-let-7a-5p","FNDC3A","Functional MTI (Weak)","MIRT052386","CLASH","23622248"
"hsa-let-7a-5p","FNDC3A","Functional MTI (Weak)","MIRT052386","PAR-CLIP","23592263"
"hsa-let-7a-5p","ZCCHC9","Functional MTI (Weak)","MIRT052387","CLASH","23622248"
"hsa-let-7a-5p","CD276","Functional MTI (Weak)","MIRT052388","CLASH","23622248"
"hsa-let-7a-5p","PHF6","Functional MTI (Weak)","MIRT052389","CLASH","23622248"
"hsa-let-7a-5p","FAM13C","Functional MTI (Weak)","MIRT052390","CLASH","23622248"
"hsa-let-7a-5p","NOLC1","Functional MTI (Weak)","MIRT052391","CLASH","23622248"
"hsa-let-7a-5p","RIOK3","Functional MTI (Weak)","MIRT052360","CLASH","23622248"
"hsa-let-7a-5p","ZC3H18","Functional MTI (Weak)","MIRT052361","CLASH","23622248"
"hsa-let-7a-5p","OTULIN","Functional MTI (Weak)","MIRT052362","CLASH","23622248"
"hsa-let-7a-5p","TMEM39A","Functional MTI (Weak)","MIRT052363","CLASH","23622248"
"hsa-let-7a-5p","UPP2","Functional MTI (Weak)","MIRT052364","CLASH","23622248"
"hsa-let-7a-5p","ACVR1B","Functional MTI (Weak)","MIRT052392","CLASH","23622248"
"hsa-let-7a-5p","PTP4A1","Functional MTI (Weak)","MIRT052393","CLASH","23622248"
"hsa-let-7a-5p","BAZ2A","Functional MTI (Weak)","MIRT052394","CLASH","23622248"
"hsa-let-7a-5p","SYNPR","Functional MTI (Weak)","MIRT052365","CLASH","23622248"
"hsa-let-7a-5p","ATP6V1B2","Functional MTI (Weak)","MIRT052366","CLASH","23622248"
"hsa-let-7a-5p","UBAP2","Functional MTI (Weak)","MIRT052395","CLASH","23622248"
"hsa-let-7a-5p","MEPCE","Functional MTI (Weak)","MIRT052367","CLASH","23622248"
"hsa-let-7a-5p","RPL9","Functional MTI (Weak)","MIRT052396","CLASH","23622248"
"hsa-let-7a-5p","PSMA2","Functional MTI (Weak)","MIRT052368","CLASH","23622248"
"hsa-let-7a-5p","NDUFAF3","Functional MTI (Weak)","MIRT052369","CLASH","23622248"
"hsa-let-7a-5p","GP5","Functional MTI (Weak)","MIRT052370","CLASH","23622248"
"hsa-let-7a-5p","GPN1","Functional MTI (Weak)","MIRT052371","CLASH","23622248"
"hsa-let-7a-5p","UTP4","Functional MTI (Weak)","MIRT052372","CLASH","23622248"
"hsa-let-7a-5p","TRIM5","Functional MTI (Weak)","MIRT052397","CLASH","23622248"
"hsa-let-7a-5p","DNAJC6","Functional MTI (Weak)","MIRT052398","CLASH","23622248"
"hsa-let-7a-5p","GLUL","Functional MTI (Weak)","MIRT052399","CLASH","23622248"
"hsa-let-7a-5p","HIST1H4D","Functional MTI (Weak)","MIRT052400","CLASH","23622248"
"hsa-let-7a-5p","ZNF555","Functional MTI (Weak)","MIRT052373","CLASH","23622248"
"hsa-let-7a-5p","UBE3C","Functional MTI (Weak)","MIRT052374","CLASH","23622248"
"hsa-let-7a-5p","LHFPL2","Functional MTI (Weak)","MIRT052375","CLASH","23622248"
"hsa-let-7a-5p","MRPL15","Functional MTI (Weak)","MIRT052376","CLASH","23622248"
"hsa-let-7a-5p","HIST2H2BF","Functional MTI (Weak)","MIRT052377","CLASH","23622248"
"hsa-let-7a-5p","FOXJ3","Functional MTI (Weak)","MIRT052401","CLASH","23622248"
"hsa-let-7a-5p","PHTF2","Functional MTI (Weak)","MIRT052402","CLASH","23622248"
"hsa-let-7a-5p","ACTB","Functional MTI (Weak)","MIRT052403","CLASH","23622248"
"hsa-let-7a-5p","NID2","Functional MTI (Weak)","MIRT052404","CLASH","23622248"
"hsa-let-7a-5p","CEP170B","Functional MTI (Weak)","MIRT052378","CLASH","23622248"
"hsa-let-7a-5p","SMPDL3B","Functional MTI (Weak)","MIRT052379","CLASH","23622248"
"hsa-let-7a-5p","HIST2H2BE","Functional MTI (Weak)","MIRT052380","CLASH","23622248"
"hsa-let-7a-5p","ANO6","Functional MTI (Weak)","MIRT052405","CLASH","23622248"
"hsa-let-7a-5p","CS","Functional MTI (Weak)","MIRT052406","CLASH","23622248"
"hsa-let-7a-5p","BTBD1","Functional MTI (Weak)","MIRT052407","CLASH","23622248"
"hsa-let-7a-5p","NCBP1","Functional MTI (Weak)","MIRT052408","CLASH","23622248"
"hsa-let-7a-5p","LMNA","Functional MTI (Weak)","MIRT052409","CLASH","23622248"
"hsa-let-7a-5p","RBMXL1","Functional MTI (Weak)","MIRT052410","CLASH","23622248"
"hsa-let-7a-5p","JAZF1","Functional MTI (Weak)","MIRT052411","CLASH","23622248"
"hsa-let-7a-5p","RPS3A","Functional MTI (Weak)","MIRT052412","CLASH","23622248"
"hsa-let-7a-5p","ZNF629","Functional MTI (Weak)","MIRT052413","CLASH","23622248"
"hsa-let-7a-5p","SIK1","Functional MTI (Weak)","MIRT052414","CLASH","23622248"
"hsa-let-7a-5p","HIST1H1D","Functional MTI (Weak)","MIRT052415","CLASH","23622248"
"hsa-let-7a-5p","SESN2","Functional MTI (Weak)","MIRT052416","CLASH","23622248"
"hsa-let-7a-5p","EIF3C","Functional MTI (Weak)","MIRT052417","CLASH","23622248"
"hsa-let-7a-5p","GPM6B","Functional MTI (Weak)","MIRT052418","CLASH","23622248"
"hsa-let-7a-5p","RPL30","Functional MTI (Weak)","MIRT052419","CLASH","23622248"
"hsa-let-7a-5p","ARL6IP6","Functional MTI (Weak)","MIRT052420","CLASH","23622248"
"hsa-let-7a-5p","FBXW2","Functional MTI (Weak)","MIRT052421","CLASH","23622248"
"hsa-let-7a-5p","FBXW2","Functional MTI (Weak)","MIRT052421","PAR-CLIP","23446348"
"hsa-let-7a-5p","FBXW2","Functional MTI (Weak)","MIRT052421","PAR-CLIP","20371350"
"hsa-let-7a-5p","POU3F2","Functional MTI (Weak)","MIRT052422","CLASH","23622248"
"hsa-let-7a-5p","TTC22","Functional MTI (Weak)","MIRT052423","CLASH","23622248"
"hsa-let-7a-5p","LRRC37A2","Functional MTI (Weak)","MIRT052424","CLASH","23622248"
"hsa-let-7a-5p","GCN1","Functional MTI (Weak)","MIRT052425","CLASH","23622248"
"hsa-let-7a-5p","IVD","Functional MTI (Weak)","MIRT052426","CLASH","23622248"
"hsa-let-7a-5p","CNOT9","Functional MTI (Weak)","MIRT052427","CLASH","23622248"
"hsa-let-7a-5p","KIAA2026","Functional MTI (Weak)","MIRT052428","CLASH","23622248"
"hsa-let-7a-5p","COX1","Functional MTI (Weak)","MIRT052429","CLASH","23622248"
"hsa-let-7a-5p","NAA35","Functional MTI (Weak)","MIRT052430","CLASH","23622248"
"hsa-let-7a-5p","ZNF609","Functional MTI (Weak)","MIRT052442","PAR-CLIP","26701625"
"hsa-let-7a-5p","TMEM64","Functional MTI (Weak)","MIRT052443","CLASH","23622248"
"hsa-let-7a-5p","EXPH5","Functional MTI (Weak)","MIRT052444","CLASH","23622248"
"hsa-let-7a-5p","AKAP17A","Functional MTI (Weak)","MIRT052445","CLASH","23622248"
"hsa-let-7a-5p","ATG4C","Functional MTI (Weak)","MIRT052446","CLASH","23622248"
"hsa-let-7a-5p","ORAI2","Functional MTI (Weak)","MIRT052447","CLASH","23622248"
"hsa-let-7a-5p","WWP2","Functional MTI (Weak)","MIRT052448","CLASH","23622248"
"hsa-let-7a-5p","RPS15A","Functional MTI (Weak)","MIRT052449","CLASH","23622248"
"hsa-let-7a-5p","RPS10","Functional MTI (Weak)","MIRT052450","CLASH","23622248"
"hsa-let-7a-5p","AGO1","Functional MTI (Weak)","MIRT052451","CLASH","23622248"
"hsa-let-7a-5p","AGO1","Functional MTI","MIRT052451","Immunohistochemistry, Immunoprecipitaion, Luciferase reporter assay, Northern blot, qRT-PCR, Western blot","23426184"
"hsa-let-7a-5p","AOC2","Functional MTI (Weak)","MIRT052452","CLASH","23622248"
"hsa-let-7a-5p","SP1","Functional MTI (Weak)","MIRT052453","CLASH","23622248"
"hsa-let-7a-5p","ND5","Functional MTI (Weak)","MIRT052454","CLASH","23622248"
"hsa-let-7a-5p","CAMK2D","Functional MTI (Weak)","MIRT052455","CLASH","23622248"
"hsa-let-7a-5p","CD2AP","Functional MTI (Weak)","MIRT052456","CLASH","23622248"
"hsa-let-7a-5p","H1F0","Functional MTI (Weak)","MIRT052457","CLASH","23622248"
"hsa-let-7a-5p","VAV2","Functional MTI (Weak)","MIRT052458","CLASH","23622248"
"hsa-let-7a-5p","RPSA","Functional MTI (Weak)","MIRT052459","CLASH","23622248"
"hsa-let-7a-5p","NEU3","Functional MTI (Weak)","MIRT052460","CLASH","23622248"
"hsa-let-7a-5p","UBAP2L","Functional MTI (Weak)","MIRT052461","CLASH","23622248"
"hsa-let-7a-5p","GORASP2","Functional MTI (Weak)","MIRT052462","CLASH","23622248"
"hsa-let-7a-5p","ANKRD17","Functional MTI (Weak)","MIRT052463","CLASH","23622248"
"hsa-let-7a-5p","IPO7","Functional MTI (Weak)","MIRT052464","CLASH","23622248"
"hsa-let-7a-5p","CFL2","Functional MTI (Weak)","MIRT052465","CLASH","23622248"
"hsa-let-7a-5p","ZMYM3","Functional MTI (Weak)","MIRT052466","CLASH","23622248"
"hsa-let-7a-5p","RBM6","Functional MTI (Weak)","MIRT052467","CLASH","23622248"
"hsa-let-7a-5p","TAF9B","Functional MTI (Weak)","MIRT052468","CLASH","23622248"
"hsa-let-7a-5p","SKA3","Functional MTI (Weak)","MIRT052469","CLASH","23622248"
"hsa-let-7a-5p","SHMT2","Functional MTI (Weak)","MIRT052431","CLASH","23622248"
"hsa-let-7a-5p","ATP6","Functional MTI (Weak)","MIRT052432","CLASH","23622248"
"hsa-let-7a-5p","GTF2I","Functional MTI (Weak)","MIRT052433","CLASH","23622248"
"hsa-let-7a-5p","KRTAP19-1","Functional MTI (Weak)","MIRT052434","CLASH","23622248"
"hsa-let-7a-5p","RPL4","Functional MTI (Weak)","MIRT052435","CLASH","23622248"
"hsa-let-7a-5p","TMEM165","Functional MTI (Weak)","MIRT052436","CLASH","23622248"
"hsa-let-7a-5p","GTF3C5","Functional MTI (Weak)","MIRT052437","CLASH","23622248"
"hsa-let-7a-5p","KIAA1147","Functional MTI (Weak)","MIRT052438","CLASH","23622248"
"hsa-let-7a-5p","ARRDC1-AS1","Functional MTI (Weak)","MIRT052439","CLASH","23622248"
"hsa-let-7a-5p","C11orf57","Functional MTI (Weak)","MIRT052440","CLASH","23622248"
"hsa-let-7a-5p","C11orf57","Functional MTI (Weak)","MIRT052440","PAR-CLIP","23592263"
"hsa-let-7a-5p","DDX18","Functional MTI (Weak)","MIRT052470","CLASH","23622248"
"hsa-let-7a-5p","FARSA","Functional MTI (Weak)","MIRT052471","CLASH","23622248"
"hsa-let-7a-5p","BNIP3L","Functional MTI (Weak)","MIRT052472","CLASH","23622248"
"hsa-let-7a-5p","VGLL4","Functional MTI (Weak)","MIRT052473","CLASH","23622248"
"hsa-let-7a-5p","BUD13","Functional MTI (Weak)","MIRT052474","CLASH","23622248"
"hsa-let-7a-5p","C11orf57","Functional MTI (Weak)","MIRT052440","PAR-CLIP","21572407"
"hsa-let-7a-5p","EEF2","Functional MTI (Weak)","MIRT052441","CLASH","23622248"
"hsa-let-7a-5p","ZNF609","Functional MTI (Weak)","MIRT052442","CLASH","23622248"
"hsa-let-7a-5p","HNRNPUL1","Functional MTI (Weak)","MIRT052475","CLASH","23622248"
"hsa-let-7a-5p","NUDT4","Functional MTI (Weak)","MIRT052476","CLASH","23622248"
"hsa-let-7a-5p","SNRPC","Functional MTI (Weak)","MIRT052477","CLASH","23622248"
"hsa-let-7a-5p","SPATS2","Functional MTI (Weak)","MIRT052478","CLASH","23622248"
"hsa-let-7a-5p","REPS1","Functional MTI (Weak)","MIRT052479","CLASH","23622248"
"hsa-let-7a-5p","LILRB4","Functional MTI (Weak)","MIRT052507","CLASH","23622248"
"hsa-let-7a-5p","PPP2R2A","Functional MTI (Weak)","MIRT052508","CLASH","23622248"
"hsa-let-7a-5p","TRAF7","Functional MTI (Weak)","MIRT052480","CLASH","23622248"
"hsa-let-7a-5p","PPP2R2A","Functional MTI (Weak)","MIRT052508","PAR-CLIP","23446348"
"hsa-let-7a-5p","CD55","Functional MTI (Weak)","MIRT052481","CLASH","23622248"
"hsa-let-7a-5p","PNRC1","Functional MTI (Weak)","MIRT052482","CLASH","23622248"
"hsa-let-7a-5p","SRSF2","Functional MTI (Weak)","MIRT052509","CLASH","23622248"
"hsa-let-7a-5p","SETD7","Functional MTI (Weak)","MIRT052483","CLASH","23622248"
"hsa-let-7a-5p","ERN1","Functional MTI (Weak)","MIRT052484","CLASH","23622248"
"hsa-let-7a-5p","NDUFS2","Functional MTI (Weak)","MIRT052485","CLASH","23622248"
"hsa-let-7a-5p","MRS2","Functional MTI (Weak)","MIRT052486","CLASH","23622248"
"hsa-let-7a-5p","TARS","Functional MTI (Weak)","MIRT052487","CLASH","23622248"
"hsa-let-7a-5p","HUWE1","Functional MTI (Weak)","MIRT052488","CLASH","23622248"
"hsa-let-7a-5p","PAXBP1","Functional MTI (Weak)","MIRT052489","CLASH","23622248"
"hsa-let-7a-5p","LIX1L","Functional MTI (Weak)","MIRT052490","CLASH","23622248"
"hsa-let-7a-5p","RAD21","Functional MTI (Weak)","MIRT052491","CLASH","23622248"
"hsa-let-7a-5p","ND1","Functional MTI (Weak)","MIRT052492","CLASH","23622248"
"hsa-let-7a-5p","ZNF644","Functional MTI (Weak)","MIRT052493","CLASH","23622248"
"hsa-let-7a-5p","ZNF644","Functional MTI (Weak)","MIRT052493","PAR-CLIP","23446348"
"hsa-let-7a-5p","SAMD4B","Functional MTI (Weak)","MIRT052494","CLASH","23622248"
"hsa-let-7a-5p","ASPM","Functional MTI (Weak)","MIRT052495","CLASH","23622248"
"hsa-let-7a-5p","ZNF746","Functional MTI (Weak)","MIRT052496","CLASH","23622248"
"hsa-let-7a-5p","ND2","Functional MTI (Weak)","MIRT052497","CLASH","23622248"
"hsa-let-7a-5p","RPS4X","Functional MTI (Weak)","MIRT052498","CLASH","23622248"
"hsa-let-7a-5p","NPC1","Functional MTI (Weak)","MIRT052499","CLASH","23622248"
"hsa-let-7a-5p","ITM2B","Functional MTI (Weak)","MIRT052500","CLASH","23622248"
"hsa-let-7a-5p","RPS13","Functional MTI (Weak)","MIRT052501","CLASH","23622248"
"hsa-let-7a-5p","C1GALT1","Functional MTI (Weak)","MIRT052502","CLASH","23622248"
"hsa-let-7a-5p","CARHSP1","Functional MTI (Weak)","MIRT052503","CLASH","23622248"
"hsa-let-7a-5p","CNTRL","Functional MTI (Weak)","MIRT052504","CLASH","23622248"
"hsa-let-7a-5p","PIK3R1","Functional MTI (Weak)","MIRT052505","CLASH","23622248"
"hsa-let-7a-5p","CLPB","Functional MTI (Weak)","MIRT052510","CLASH","23622248"
"hsa-let-7a-5p","DEGS1","Functional MTI (Weak)","MIRT052511","CLASH","23622248"
"hsa-let-7a-5p","LTA4H","Functional MTI (Weak)","MIRT052512","CLASH","23622248"
"hsa-let-7a-5p","ATP2A2","Functional MTI (Weak)","MIRT052513","CLASH","23622248"
"hsa-let-7a-5p","HDAC5","Functional MTI (Weak)","MIRT052514","CLASH","23622248"
"hsa-let-7a-5p","MTFR1L","Functional MTI (Weak)","MIRT052515","CLASH","23622248"
"hsa-let-7a-5p","NUDT5","Functional MTI (Weak)","MIRT052516","CLASH","23622248"
"hsa-let-7a-5p","JPH4","Functional MTI (Weak)","MIRT052517","CLASH","23622248"
"hsa-let-7a-5p","TAF5L","Functional MTI (Weak)","MIRT052518","CLASH","23622248"
"hsa-let-7a-5p","MED13L","Functional MTI (Weak)","MIRT052519","CLASH","23622248"
"hsa-let-7a-5p","FKBP8","Functional MTI (Weak)","MIRT052520","CLASH","23622248"
"hsa-let-7a-5p","ZNF780A","Functional MTI (Weak)","MIRT052521","CLASH","23622248"
"hsa-let-7a-5p","BSDC1","Functional MTI (Weak)","MIRT052522","CLASH","23622248"
"hsa-let-7a-5p","HMGN2","Functional MTI (Weak)","MIRT052523","CLASH","23622248"
"hsa-let-7a-5p","SLC35A4","Functional MTI (Weak)","MIRT052524","CLASH","23622248"
"hsa-let-7a-5p","UBE2Q1","Functional MTI (Weak)","MIRT052525","CLASH","23622248"
"hsa-let-7a-5p","B4GALNT3","Functional MTI (Weak)","MIRT052526","CLASH","23622248"
"hsa-let-7a-5p","USP14","Functional MTI (Weak)","MIRT052527","CLASH","23622248"
"hsa-let-7a-5p","HOXC4","Functional MTI (Weak)","MIRT052528","CLASH","23622248"
"hsa-let-7a-5p","PTGES2","Functional MTI (Weak)","MIRT052529","CLASH","23622248"
"hsa-let-7a-5p","HSF2","Functional MTI (Weak)","MIRT052530","CLASH","23622248"
"hsa-let-7a-5p","FAM171A2","Functional MTI (Weak)","MIRT052531","CLASH","23622248"
"hsa-let-7a-5p","CAND2","Functional MTI (Weak)","MIRT052532","CLASH","23622248"
"hsa-let-7a-5p","TMEM241","Functional MTI (Weak)","MIRT052533","CLASH","23622248"
"hsa-let-7a-5p","S100PBP","Functional MTI (Weak)","MIRT052534","CLASH","23622248"
"hsa-let-7a-5p","AIDA","Functional MTI (Weak)","MIRT052535","CLASH","23622248"
"hsa-let-7a-5p","RANBP2","Functional MTI (Weak)","MIRT052536","CLASH","23622248"
"hsa-let-7a-5p","MAPK11","Functional MTI (Weak)","MIRT052537","CLASH","23622248"
"hsa-let-7a-5p","BMPR1B","Functional MTI (Weak)","MIRT052538","CLASH","23622248"
"hsa-let-7a-5p","ARID3B","Functional MTI (Weak)","MIRT052506","CLASH","23622248"
"hsa-let-7a-5p","ARID3B","Functional MTI (Weak)","MIRT052506","PAR-CLIP","23446348"
"hsa-let-7a-5p","ARID3B","Functional MTI (Weak)","MIRT052506","PAR-CLIP","21572407"
"hsa-let-7a-5p","ARID3B","Functional MTI (Weak)","MIRT052506","PAR-CLIP","20371350"
"hsa-let-7a-5p","SNX6","Functional MTI (Weak)","MIRT052571","CLASH","23622248"
"hsa-let-7a-5p","ADSL","Functional MTI (Weak)","MIRT052539","CLASH","23622248"
