"miRNA","Target / Target pathway","Support","Source","Experiment(s)","Reference - PMID"
"hsa-miR-122-5p","KAT7","Functional MTI (Weak)","MIRT628078","HITS-CLIP","19536157"
"hsa-miR-122-5p","CYB5D1","Functional MTI (Weak)","MIRT628276","HITS-CLIP","23824327"
"hsa-miR-122-5p","F2RL1","Functional MTI (Weak)","MIRT629094","HITS-CLIP","23824327"
"hsa-miR-122-5p","NOM1","Functional MTI (Weak)","MIRT629874","HITS-CLIP","23824327"
"hsa-miR-122-5p","CINP","Functional MTI (Weak)","MIRT629236","HITS-CLIP","23824327"
"hsa-miR-122-5p","WDR31","Functional MTI (Weak)","MIRT629635","HITS-CLIP","23824327"
"hsa-miR-122-5p","UNC13A","Functional MTI (Weak)","MIRT629286","HITS-CLIP","23824327"
"hsa-miR-122-5p","ADM2","Functional MTI (Weak)","MIRT629407","HITS-CLIP","23824327"
"hsa-miR-122-5p","RFC2","Functional MTI (Weak)","MIRT629584","HITS-CLIP","23824327"
"hsa-miR-122-5p","ARHGEF5","Functional MTI (Weak)","MIRT630127","HITS-CLIP","23824327"
"hsa-miR-122-5p","NARS","Functional MTI (Weak)","MIRT629984","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZBTB8A","Functional MTI (Weak)","MIRT630155","HITS-CLIP","23824327"
"hsa-miR-122-5p","NIP7","Functional MTI (Weak)","MIRT630061","HITS-CLIP","23824327"
"hsa-miR-122-5p","TERF2","Functional MTI (Weak)","MIRT630043","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZBTB8A","Functional MTI (Weak)","MIRT630155","HITS-CLIP","27418678"
"hsa-miR-122-5p","NKAP","Functional MTI (Weak)","MIRT630347","HITS-CLIP","23824327"
"hsa-miR-122-5p","SMTNL2","Functional MTI (Weak)","MIRT630252","HITS-CLIP","23824327"
"hsa-miR-122-5p","PSMB5","Functional MTI (Weak)","MIRT630278","HITS-CLIP","23824327"
"hsa-miR-122-5p","CYP20A1","Functional MTI (Weak)","MIRT630497","HITS-CLIP","23824327"
"hsa-miR-122-5p","CENPM","Functional MTI (Weak)","MIRT631264","HITS-CLIP","23824327"
"hsa-miR-122-5p","IL2RA","Functional MTI (Weak)","MIRT631403","HITS-CLIP","23824327"
"hsa-miR-122-5p","RPS15A","Functional MTI (Weak)","MIRT632470","HITS-CLIP","23824327"
"hsa-miR-122-5p","PDP2","Functional MTI (Weak)","MIRT632596","HITS-CLIP","23824327"
"hsa-miR-122-5p","DUSP18","Functional MTI (Weak)","MIRT632994","HITS-CLIP","23824327"
"hsa-miR-122-5p","CXorf21","Functional MTI (Weak)","MIRT633082","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZNF573","Functional MTI (Weak)","MIRT633239","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC1A5","Functional MTI (Weak)","MIRT633286","HITS-CLIP","23824327"
"hsa-miR-122-5p","MYH11","Functional MTI (Weak)","MIRT635050","HITS-CLIP","23824327"
"hsa-miR-122-5p","PGBD5","Functional MTI (Weak)","MIRT633536","HITS-CLIP","23824327"
"hsa-miR-122-5p","MFSD4B","Functional MTI (Weak)","MIRT634600","HITS-CLIP","23824327"
"hsa-miR-122-5p","MFSD4B","Functional MTI (Weak)","MIRT634600","PAR-CLIP","27292025"
"hsa-miR-122-5p","SGO1","Functional MTI (Weak)","MIRT634338","HITS-CLIP","23824327"
"hsa-miR-122-5p","QPRT","Functional MTI (Weak)","MIRT635236","HITS-CLIP","23824327"
"hsa-miR-122-5p","BMS1","Functional MTI (Weak)","MIRT635322","HITS-CLIP","23824327"
"hsa-miR-122-5p","RNF157","Functional MTI (Weak)","MIRT636268","HITS-CLIP","23824327"
"hsa-miR-122-5p","FMN1","Functional MTI (Weak)","MIRT636516","HITS-CLIP","23824327"
"hsa-miR-122-5p","LRCH3","Functional MTI (Weak)","MIRT636450","HITS-CLIP","23824327"
"hsa-miR-122-5p","ROMO1","Functional MTI (Weak)","MIRT637188","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC16A5","Functional MTI (Weak)","MIRT636755","HITS-CLIP","23824327"
"hsa-miR-122-5p","BAMBI","Functional MTI (Weak)","MIRT637134","HITS-CLIP","23824327"
"hsa-miR-122-5p","RGS9BP","Functional MTI (Weak)","MIRT637532","HITS-CLIP","23824327"
"hsa-miR-122-5p","IBA57","Functional MTI (Weak)","MIRT637287","HITS-CLIP","23824327"
"hsa-miR-122-5p","CEP89","Functional MTI (Weak)","MIRT637693","HITS-CLIP","23824327"
"hsa-miR-122-5p","OLA1","Functional MTI (Weak)","MIRT637788","HITS-CLIP","23824327"
"hsa-miR-122-5p","LILRA2","Functional MTI (Weak)","MIRT637925","HITS-CLIP","23824327"
"hsa-miR-122-5p","PLXDC2","Functional MTI (Weak)","MIRT638449","HITS-CLIP","23824327"
"hsa-miR-122-5p","PLXDC2","Functional MTI (Weak)","MIRT638449","PAR-CLIP","27292025"
"hsa-miR-122-5p","ENTPD1","Functional MTI (Weak)","MIRT640871","HITS-CLIP","23824327"
"hsa-miR-122-5p","PTGR2","Functional MTI (Weak)","MIRT642643","HITS-CLIP","23824327"
"hsa-miR-122-5p","HACD4","Functional MTI (Weak)","MIRT643082","HITS-CLIP","23824327"
"hsa-miR-122-5p","FAM71F2","Functional MTI (Weak)","MIRT643123","HITS-CLIP","23824327"
"hsa-miR-122-5p","TMCO1","Functional MTI (Weak)","MIRT644665","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC35E3","Functional MTI (Weak)","MIRT644236","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC35E2B","Functional MTI (Weak)","MIRT645092","HITS-CLIP","23824327"
"hsa-miR-122-5p","ADCY2","Functional MTI (Weak)","MIRT647013","HITS-CLIP","23824327"
"hsa-miR-122-5p","FAM217B","Functional MTI (Weak)","MIRT646508","HITS-CLIP","23824327"
"hsa-miR-122-5p","ACP6","Functional MTI (Weak)","MIRT645993","HITS-CLIP","23824327"
"hsa-miR-122-5p","NFX1","Functional MTI (Weak)","MIRT647714","HITS-CLIP","23824327"
"hsa-miR-122-5p","NFX1","Functional MTI (Weak)","MIRT647714","HITS-CLIP","23313552"
"hsa-miR-122-5p","SEC23B","Functional MTI (Weak)","MIRT647095","HITS-CLIP","23824327"
"hsa-miR-122-5p","FADS6","Functional MTI (Weak)","MIRT648040","HITS-CLIP","23824327"
"hsa-miR-122-5p","PIGG","Functional MTI (Weak)","MIRT648510","HITS-CLIP","23824327"
"hsa-miR-122-5p","DNPEP","Functional MTI (Weak)","MIRT649182","HITS-CLIP","23824327"
"hsa-miR-122-5p","ABCA6","Functional MTI (Weak)","MIRT648865","HITS-CLIP","23824327"
"hsa-miR-122-5p","TEP1","Functional MTI (Weak)","MIRT649660","HITS-CLIP","23824327"
"hsa-miR-122-5p","TMEM40","Functional MTI (Weak)","MIRT652398","HITS-CLIP","23824327"
"hsa-miR-122-5p","XIAP","Functional MTI (Weak)","MIRT651465","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC25A33","Functional MTI (Weak)","MIRT653691","HITS-CLIP","23824327"
"hsa-miR-122-5p","RPS6KA5","Functional MTI (Weak)","MIRT654122","HITS-CLIP","23824327"
"hsa-miR-122-5p","DPY19L4","Functional MTI (Weak)","MIRT658905","HITS-CLIP","23824327"
"hsa-miR-122-5p","PXMP4","Functional MTI (Weak)","MIRT654577","HITS-CLIP","23824327"
"hsa-miR-122-5p","MAP4K2","Functional MTI (Weak)","MIRT656470","HITS-CLIP","23824327"
"hsa-miR-122-5p","MED18","Functional MTI (Weak)","MIRT662907","HITS-CLIP","23824327"
"hsa-miR-122-5p","GRK3","Functional MTI (Weak)","MIRT660878","HITS-CLIP","23824327"
"hsa-miR-122-5p","GRK3","Functional MTI (Weak)","MIRT660878","HITS-CLIP","22927820"
"hsa-miR-122-5p","ARL17B","Functional MTI (Weak)","MIRT661238","HITS-CLIP","23824327"
"hsa-miR-122-5p","PGBD4","Functional MTI (Weak)","MIRT662235","HITS-CLIP","23824327"
"hsa-miR-122-5p","MTAP","Functional MTI (Weak)","MIRT662544","HITS-CLIP","23824327"
"hsa-miR-122-5p","LRRC3C","Functional MTI (Weak)","MIRT662736","HITS-CLIP","23824327"
"hsa-miR-122-5p","SPIB","Functional MTI (Weak)","MIRT661101","HITS-CLIP","23824327"
"hsa-miR-122-5p","LIN52","Functional MTI (Weak)","MIRT661291","HITS-CLIP","23824327"
"hsa-miR-122-5p","OMD","Functional MTI (Weak)","MIRT662844","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZNF74","Functional MTI (Weak)","MIRT663340","HITS-CLIP","23824327"
"hsa-miR-122-5p","JPH2","Functional MTI (Weak)","MIRT662956","HITS-CLIP","23824327"
"hsa-miR-122-5p","IYD","Functional MTI (Weak)","MIRT663496","HITS-CLIP","23824327"
"hsa-miR-122-5p","MASTL","Functional MTI (Weak)","MIRT663523","HITS-CLIP","23824327"
"hsa-miR-122-5p","MRI1","Functional MTI (Weak)","MIRT663903","HITS-CLIP","23824327"
"hsa-miR-122-5p","CCR6","Functional MTI (Weak)","MIRT663542","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZYG11B","Functional MTI (Weak)","MIRT664468","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZNF786","Functional MTI (Weak)","MIRT663973","HITS-CLIP","23824327"
"hsa-miR-122-5p","C16orf45","Functional MTI (Weak)","MIRT664350","HITS-CLIP","23824327"
"hsa-miR-122-5p","TIGD6","Functional MTI (Weak)","MIRT664417","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZYG11B","Functional MTI (Weak)","MIRT664468","PAR-CLIP","27292025"
"hsa-miR-122-5p","XKR4","Functional MTI (Weak)","MIRT665359","HITS-CLIP","23824327"
"hsa-miR-122-5p","PTCD3","Functional MTI (Weak)","MIRT664957","HITS-CLIP","23824327"
"hsa-miR-122-5p","TDRD1","Functional MTI (Weak)","MIRT664970","HITS-CLIP","23824327"
"hsa-miR-122-5p","ESF1","Functional MTI (Weak)","MIRT665199","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC16A10","Functional MTI (Weak)","MIRT666324","HITS-CLIP","23824327"
"hsa-miR-122-5p","WDR17","Functional MTI (Weak)","MIRT665454","HITS-CLIP","23824327"
"hsa-miR-122-5p","WDR17","Functional MTI (Weak)","MIRT665454","PAR-CLIP","27292025"
"hsa-miR-122-5p","VPS53","Functional MTI (Weak)","MIRT665486","HITS-CLIP","23824327"
"hsa-miR-122-5p","SSTR2","Functional MTI (Weak)","MIRT666078","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC31A1","Functional MTI (Weak)","MIRT666258","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC16A10","Functional MTI (Weak)","MIRT666324","HITS-CLIP","27418678"
"hsa-miR-122-5p","SBNO1","Functional MTI (Weak)","MIRT666486","HITS-CLIP","23824327"
"hsa-miR-122-5p","RBM23","Functional MTI (Weak)","MIRT666696","HITS-CLIP","23824327"
"hsa-miR-122-5p","RBL1","Functional MTI (Weak)","MIRT666712","HITS-CLIP","23824327"
"hsa-miR-122-5p","MPLKIP","Functional MTI (Weak)","MIRT667359","HITS-CLIP","23824327"
"hsa-miR-122-5p","RAB10","Functional MTI (Weak)","MIRT666762","HITS-CLIP","23824327"
"hsa-miR-122-5p","PNRC1","Functional MTI (Weak)","MIRT666931","HITS-CLIP","23824327"
"hsa-miR-122-5p","NFE2L1","Functional MTI (Weak)","MIRT667226","HITS-CLIP","23824327"
"hsa-miR-122-5p","NFE2L1","Functional MTI (Weak)","MIRT667226","PAR-CLIP","26701625"
"hsa-miR-122-5p","MAPK1","Functional MTI (Weak)","MIRT667474","HITS-CLIP","23824327"
"hsa-miR-122-5p","GDE1","Functional MTI (Weak)","MIRT668166","HITS-CLIP","23824327"
"hsa-miR-122-5p","LRAT","Functional MTI (Weak)","MIRT667558","HITS-CLIP","23824327"
"hsa-miR-122-5p","KDELR1","Functional MTI (Weak)","MIRT667748","HITS-CLIP","23824327"
"hsa-miR-122-5p","GMEB1","Functional MTI (Weak)","MIRT668088","HITS-CLIP","23824327"
"hsa-miR-122-5p","GK5","Functional MTI (Weak)","MIRT668119","HITS-CLIP","23824327"
"hsa-miR-122-5p","STXBP2","Functional MTI (Weak)","MIRT668346","HITS-CLIP","23824327"
"hsa-miR-122-5p","NCBP3","Functional MTI (Weak)","MIRT669291","HITS-CLIP","23824327"
"hsa-miR-122-5p","ESYT2","Functional MTI (Weak)","MIRT668509","HITS-CLIP","23824327"
"hsa-miR-122-5p","ALG14","Functional MTI (Weak)","MIRT669547","HITS-CLIP","23824327"
"hsa-miR-122-5p","TECPR1","Functional MTI (Weak)","MIRT670017","HITS-CLIP","23824327"
"hsa-miR-122-5p","BROX","Functional MTI (Weak)","MIRT669858","HITS-CLIP","23824327"
"hsa-miR-122-5p","BROX","Functional MTI (Weak)","MIRT669858","HITS-CLIP","19536157"
"hsa-miR-122-5p","CNDP1","Functional MTI (Weak)","MIRT669778","HITS-CLIP","23824327"
"hsa-miR-122-5p","LIMS1","Functional MTI (Weak)","MIRT671554","HITS-CLIP","23824327"
"hsa-miR-122-5p","FLYWCH2","Functional MTI (Weak)","MIRT671476","HITS-CLIP","23824327"
"hsa-miR-122-5p","CCDC142","Functional MTI (Weak)","MIRT670177","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZNF841","Functional MTI (Weak)","MIRT671107","HITS-CLIP","23824327"
"hsa-miR-122-5p","SMG1","Functional MTI (Weak)","MIRT671351","HITS-CLIP","23824327"
"hsa-miR-122-5p","SLC38A9","Functional MTI (Weak)","MIRT671492","HITS-CLIP","23824327"
"hsa-miR-122-5p","PLEKHS1","Functional MTI (Weak)","MIRT671925","HITS-CLIP","23824327"
"hsa-miR-122-5p","PLEKHS1","Functional MTI (Weak)","MIRT671925","HITS-CLIP","23313552"
"hsa-miR-122-5p","PLEKHS1","Functional MTI (Weak)","MIRT671925","PAR-CLIP","27292025"
"hsa-miR-122-5p","SIK2","Functional MTI (Weak)","MIRT672252","HITS-CLIP","23824327"
"hsa-miR-122-5p","KRBA2","Functional MTI (Weak)","MIRT672901","HITS-CLIP","23824327"
"hsa-miR-122-5p","GP2","Functional MTI (Weak)","MIRT672290","HITS-CLIP","23824327"
"hsa-miR-122-5p","GP2","Functional MTI (Weak)","MIRT672290","PAR-CLIP","27292025"
"hsa-miR-122-5p","F2","Functional MTI (Weak)","MIRT672196","HITS-CLIP","23824327"
"hsa-miR-122-5p","DCAF7","Functional MTI (Weak)","MIRT672217","HITS-CLIP","23824327"
"hsa-miR-122-5p","POLR2D","Functional MTI (Weak)","MIRT672430","HITS-CLIP","23824327"
"hsa-miR-122-5p","NKPD1","Functional MTI (Weak)","MIRT672597","HITS-CLIP","23824327"
"hsa-miR-122-5p","SYNPO2L","Functional MTI (Weak)","MIRT673096","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZNF655","Functional MTI (Weak)","MIRT672958","HITS-CLIP","23824327"
"hsa-miR-122-5p","INO80","Functional MTI (Weak)","MIRT673251","HITS-CLIP","23824327"
"hsa-miR-122-5p","TMEM56","Functional MTI (Weak)","MIRT673171","HITS-CLIP","23824327"
"hsa-miR-122-5p","RNF19B","Functional MTI (Weak)","MIRT673296","HITS-CLIP","23824327"
"hsa-miR-122-5p","TCF23","Functional MTI (Weak)","MIRT673737","HITS-CLIP","23824327"
"hsa-miR-122-5p","KDELC2","Functional MTI (Weak)","MIRT673574","HITS-CLIP","23824327"
"hsa-miR-122-5p","KIF1C","Functional MTI (Weak)","MIRT673586","HITS-CLIP","23824327"
"hsa-miR-122-5p","MRPL17","Functional MTI (Weak)","MIRT673767","HITS-CLIP","23824327"
"hsa-miR-122-5p","FAM120AOS","Functional MTI (Weak)","MIRT674215","HITS-CLIP","23824327"
"hsa-miR-122-5p","CLK4","Functional MTI (Weak)","MIRT675223","HITS-CLIP","23824327"
"hsa-miR-122-5p","KCMF1","Functional MTI (Weak)","MIRT674338","HITS-CLIP","23824327"
"hsa-miR-122-5p","SNTB2","Functional MTI (Weak)","MIRT675100","HITS-CLIP","23824327"
"hsa-miR-122-5p","MOGAT1","Functional MTI (Weak)","MIRT675144","HITS-CLIP","23824327"
"hsa-miR-122-5p","MOGAT1","Functional MTI (Weak)","MIRT675144","HITS-CLIP","23313552"
"hsa-miR-122-5p","NAGK","Functional MTI (Weak)","MIRT674283","HITS-CLIP","23824327"
"hsa-miR-122-5p","PRR23A","Functional MTI (Weak)","MIRT674517","HITS-CLIP","23824327"
"hsa-miR-122-5p","PRR23A","Functional MTI (Weak)","MIRT674517","PAR-CLIP","27292025"
"hsa-miR-122-5p","ZNF431","Functional MTI (Weak)","MIRT675263","HITS-CLIP","23824327"
"hsa-miR-122-5p","TMEM250","Functional MTI (Weak)","MIRT676025","HITS-CLIP","23824327"
"hsa-miR-122-5p","WWC1","Functional MTI (Weak)","MIRT675577","HITS-CLIP","23824327"
"hsa-miR-122-5p","VSIG1","Functional MTI (Weak)","MIRT676560","HITS-CLIP","23824327"
"hsa-miR-122-5p","ARIH2OS","Functional MTI (Weak)","MIRT676596","HITS-CLIP","23824327"
"hsa-miR-122-5p","PLEKHM3","Functional MTI (Weak)","MIRT676430","HITS-CLIP","23824327"
"hsa-miR-122-5p","TMEM168","Functional MTI (Weak)","MIRT678576","HITS-CLIP","23824327"
"hsa-miR-122-5p","ALG1","Functional MTI (Weak)","MIRT678756","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZNF281","Functional MTI (Weak)","MIRT680344","HITS-CLIP","23824327"
"hsa-miR-122-5p","ZNF281","Functional MTI (Weak)","MIRT680344","HITS-CLIP","27418678"
"hsa-miR-122-5p","C3","Functional MTI (Weak)","MIRT680467","HITS-CLIP","23824327"
"hsa-miR-122-5p","KIAA1143","Functional MTI (Weak)","MIRT685275","HITS-CLIP","23313552"
"hsa-miR-122-5p","SAR1A","Functional MTI (Weak)","MIRT682881","HITS-CLIP","23706177"
"hsa-miR-122-5p","MFSD13A","Functional MTI (Weak)","MIRT684404","HITS-CLIP","23313552"
"hsa-miR-122-5p","FLG2","Functional MTI (Weak)","MIRT682826","HITS-CLIP","23706177"
"hsa-miR-122-5p","KCNA7","Functional MTI (Weak)","MIRT686061","HITS-CLIP","23313552"
"hsa-miR-122-5p","NASP","Functional MTI (Weak)","MIRT687526","HITS-CLIP","23313552"
"hsa-miR-122-5p","BCL2L15","Functional MTI (Weak)","MIRT691760","HITS-CLIP","23313552"
"hsa-miR-122-5p","C3orf62","Functional MTI (Weak)","MIRT693890","HITS-CLIP","23313552"
"hsa-miR-122-5p","PTPDC1","Functional MTI (Weak)","MIRT700536","HITS-CLIP","23313552"
"hsa-miR-122-5p","SLC35E1","Functional MTI (Weak)","MIRT699342","HITS-CLIP","23313552"
"hsa-miR-122-5p","RUNDC1","Functional MTI (Weak)","MIRT699909","HITS-CLIP","23313552"
"hsa-miR-122-5p","MRPS25","Functional MTI (Weak)","MIRT701807","HITS-CLIP","23313552"
"hsa-miR-122-5p","LYRM4","Functional MTI (Weak)","MIRT702174","HITS-CLIP","23313552"
"hsa-miR-122-5p","RNF216","Functional MTI (Weak)","MIRT706659","HITS-CLIP","21572407"
"hsa-miR-122-5p","ACOT9","Functional MTI (Weak)","MIRT706205","HITS-CLIP","22927820"
"hsa-miR-122-5p","ANKRD36","Functional MTI (Weak)","MIRT706777","HITS-CLIP","21572407"
"hsa-miR-122-5p","COL13A1","Functional MTI (Weak)","MIRT706682","HITS-CLIP","21572407"
"hsa-miR-122-5p","GPR155","Functional MTI (Weak)","MIRT706705","HITS-CLIP","21572407"
"hsa-miR-122-5p","FANCC","Functional MTI (Weak)","MIRT706962","HITS-CLIP","21572407"
"hsa-miR-122-5p","XPO5","Functional MTI (Weak)","MIRT706980","HITS-CLIP","21572407"
"hsa-miR-122-5p","ST3GAL1","Functional MTI (Weak)","MIRT706896","HITS-CLIP","21572407"
"hsa-miR-122-5p","DNAJB13","Functional MTI (Weak)","MIRT706844","HITS-CLIP","21572407"
"hsa-miR-122-5p","MAFF","Functional MTI (Weak)","MIRT706863","HITS-CLIP","21572407"
"hsa-miR-122-5p","THAP6","Functional MTI (Weak)","MIRT706916","HITS-CLIP","21572407"
"hsa-miR-122-5p","MED29","Functional MTI (Weak)","MIRT707072","HITS-CLIP","21572407"
"hsa-miR-122-5p","SPECC1","Functional MTI (Weak)","MIRT709368","HITS-CLIP","19536157"
"hsa-miR-122-5p","RRP36","Functional MTI (Weak)","MIRT707015","HITS-CLIP","21572407"
"hsa-miR-122-5p","ACTR5","Functional MTI (Weak)","MIRT707032","HITS-CLIP","21572407"
"hsa-miR-122-5p","SPTLC3","Functional MTI (Weak)","MIRT720092","HITS-CLIP","19536157"
"hsa-miR-122-5p","IFNAR2","Functional MTI (Weak)","MIRT721330","HITS-CLIP","19536157"
"hsa-miR-122-5p","MED7","Functional MTI (Weak)","MIRT724198","HITS-CLIP","19536157"
"hsa-miR-122-5p","KIF6","Functional MTI (Weak)","MIRT725403","HITS-CLIP","19536157"
"hsa-miR-122-5p","CTDNEP1","Functional MTI","MIRT732616","Luciferase reporter assay, qRT-PCR, Western blot","28287811"
"hsa-miR-122-5p","LPIN1","Functional MTI","MIRT732617","Luciferase reporter assay, qRT-PCR, Western blot","28287811"
"hsa-miR-122-5p","SPRY2","Functional MTI","MIRT733104","Luciferase reporter assay, Microarray, qRT-PCR, Western blot","27943426"
"hsa-miR-122-5p","PEG10","Functional MTI","MIRT733884","Luciferase reporter assay","27370270"
"hsa-miR-122-5p","IL1A","Functional MTI","MIRT734220","Luciferase reporter assay, qRT-PCR, Western blot","26239639"
"hsa-miR-122-5p","EGFR","Functional MTI","MIRT735379","Luciferase reporter assay, qRT-PCR, Western blot","28641303"
"hsa-miR-122-5p","PDK4","Functional MTI","MIRT735022","Luciferase reporter assay, qRT-PCR, Western blot","26506419"
"hsa-miR-122-5p","AGO3","Functional MTI (Weak)","MIRT761308","PAR-CLIP","27292025"
"hsa-miR-122-5p","ARL2","Functional MTI (Weak)","MIRT736105","PAR-CLIP","26701625"
"hsa-miR-122-5p","CALM3","Functional MTI (Weak)","MIRT736106","PAR-CLIP","26701625"
"hsa-miR-122-5p","H1F0","Functional MTI (Weak)","MIRT736107","PAR-CLIP","26701625"
"hsa-miR-122-5p","IST1","Functional MTI (Weak)","MIRT736108","PAR-CLIP","26701625"
"hsa-miR-122-5p","ISY1-RAB43","Functional MTI (Weak)","MIRT736109","PAR-CLIP","26701625"
"hsa-miR-122-5p","KIAA0100","Functional MTI (Weak)","MIRT736110","PAR-CLIP","26701625"
"hsa-miR-122-5p","MAFG","Functional MTI (Weak)","MIRT736111","PAR-CLIP","26701625"
"hsa-miR-122-5p","MLF2","Functional MTI (Weak)","MIRT736112","PAR-CLIP","26701625"
"hsa-miR-122-5p","MLF2","Functional MTI (Weak)","MIRT736112","PAR-CLIP","27292025"
"hsa-miR-122-5p","MSN","Functional MTI (Weak)","MIRT736113","PAR-CLIP","26701625"
"hsa-miR-122-5p","NIPA2","Functional MTI (Weak)","MIRT736114","PAR-CLIP","26701625"
"hsa-miR-122-5p","RAB43","Functional MTI (Weak)","MIRT736115","PAR-CLIP","26701625"
